,location,City,State,B01001_001,B19013_001,B01001A_001,B01001B_001,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,Agency,State_y,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
232,"Peachtree City, GA, USA",Peachtree City,GA,34444.0,91045.0,28431.0,3154.0,28.0,0.0,53.0,23.0,81.0,28.0,55.0,81.0,1172.0,385.0,1765.0,689.0,3586.0,1837.0,320.0,274.0,Peachtree City Police Dept,GA,12,35128.0,15.0,0,2.0,6,7,457.0,36,366.0,55,42.7,0.0,5.7,17.1,19.9,1301.0,102.5,1041.9,156.6
167,"Hinesville, GA, USA",Hinesville,GA,33425.0,45233.0,14030.0,15038.0,22.0,29.0,69.0,23.0,73.0,100.0,112.0,43.0,3209.0,646.0,1883.0,926.0,1142.0,167.0,161.0,90.0,Hinesville Police Dept,GA,12,34887.0,153.0,2,18.0,33,100,1479.0,389,1049.0,41,438.6,5.7,51.6,94.6,286.6,4239.4,1115.0,3006.9,117.5
140,"Bothell, WA, USA",Bothell,WA,33124.0,70935.0,27229.0,272.0,56.0,13.0,162.0,50.0,34.0,25.0,183.0,201.0,2136.0,715.0,1551.0,897.0,3309.0,1503.0,307.0,148.0,Bothell Police Dept,WA,12,34389.0,35.0,1,7.0,8,19,893.0,179,654.0,60,101.8,2.9,20.4,23.3,55.3,2596.8,520.5,1901.8,174.5
112,"Fairborn, OH, USA",Fairborn,OH,32052.0,40981.0,26864.0,2748.0,96.0,18.0,44.0,204.0,109.0,126.0,326.0,182.0,2514.0,716.0,1506.0,752.0,1469.0,1010.0,65.0,192.0,Fairborn Police Dept,OH,5,32618.0,15.0,0,2.0,4,9,390.0,105,267.0,18,,,,,,,,,
16,"Lewiston, ID, USA",Lewiston,ID,31824.0,43927.0,29764.0,127.0,81.0,14.0,37.0,262.0,99.0,258.0,142.0,132.0,3848.0,713.0,2004.0,1013.0,1247.0,373.0,150.0,104.0,Lewiston Police Dept,ID,12,32337.0,55.0,0,7.0,10,38,1280.0,289,934.0,57,170.1,0.0,21.6,30.9,117.5,3958.3,893.7,2888.3,176.3
51,"Mount Vernon, WA, USA",Mount Vernon,WA,31455.0,48429.0,24423.0,349.0,349.0,263.0,302.0,318.0,159.0,140.0,272.0,140.0,2230.0,675.0,1421.0,1059.0,1095.0,564.0,169.0,51.0,Mount Vernon Police Dept,WA,12,32384.0,79.0,1,13.0,21,44,1552.0,315,1155.0,82,243.9,3.1,40.1,64.8,135.9,4792.5,972.7,3566.6,253.2
212,"Jamestown, NY, USA",Jamestown,NY,31148.0,31657.0,28300.0,1087.0,138.0,34.0,67.0,191.0,304.0,313.0,235.0,254.0,3180.0,541.0,1186.0,1199.0,846.0,594.0,76.0,30.0,Jamestown Police Dept,NY,12,31187.0,182.0,0,14.0,39,129,1180.0,359,784.0,37,583.6,0.0,44.9,125.1,413.6,3783.6,1151.1,2513.9,118.6
157,"Marion, IN, USA",Marion,IN,30335.0,30342.0,24175.0,4531.0,132.0,27.0,59.0,241.0,280.0,427.0,391.0,240.0,3686.0,633.0,1046.0,428.0,573.0,386.0,120.0,162.0,Marion Police Dept,IN,10,17268.0,57.0,0,8.0,7,42,178.0,149,7.0,22,,,,,,,,,
158,"Marion, IN, USA",Marion,IN,30335.0,30342.0,24175.0,4531.0,132.0,27.0,59.0,241.0,280.0,427.0,391.0,240.0,3686.0,633.0,1046.0,428.0,573.0,386.0,120.0,162.0,Marion Police Dept,IN,12,29931.0,83.0,3,9.0,50,21,1329.0,257,983.0,89,277.3,10.0,30.1,167.1,70.2,4440.2,858.6,3284.2,297.4
227,"Douglasville, GA, USA",Douglasville,GA,30203.0,49079.0,12068.0,16611.0,72.0,11.0,49.0,198.0,69.0,295.0,154.0,75.0,2536.0,538.0,1687.0,364.0,1283.0,428.0,121.0,192.0,Douglasville Police Dept,GA,12,31506.0,190.0,0,5.0,40,145,1995.0,231,1679.0,85,603.1,0.0,15.9,127.0,460.2,6332.1,733.2,5329.1,269.8
