,location,City,State,B01001_001,B19013_001,B01001A_001,B01001B_001,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,Agency,State_y,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
84,"East Chicago, IN, USA",East Chicago,IN,30003.0,28185.0,6945.0,13251.0,237.0,122.0,437.0,224.0,285.0,193.0,314.0,343.0,3034.0,479.0,1120.0,180.0,325.0,192.0,26.0,64.0,East Chicago Police Dept,IN,12,29764.0,220.0,3,9.0,88,120,1754.0,560,1025.0,169,739.1,10.1,30.2,295.7,403.2,5893.0,1881.5,3443.8,567.8
104,"Austintown, OH, USA",Austintown,OH,29881.0,42272.0,27396.0,1673.0,12.0,11.0,28.0,180.0,147.0,166.0,182.0,202.0,4000.0,704.0,1723.0,505.0,1123.0,543.0,93.0,66.0,Austintown Police Dept,OH,12,36478.0,63.0,0,6.0,19,38,1304.0,344,903.0,57,172.7,0.0,16.4,52.1,104.2,3574.8,943.0,2475.5,156.3
33,"Salisbury, MD, USA",Salisbury,MD,29808.0,40590.0,17316.0,9727.0,112.0,48.0,230.0,216.0,196.0,229.0,236.0,125.0,2356.0,406.0,974.0,546.0,1417.0,497.0,47.0,125.0,Salisbury Police Dept,MD,12,30778.0,366.0,1,18.0,118,229,1859.0,336,1470.0,53,1189.2,3.2,58.5,383.4,744.0,6040.0,1091.7,4776.1,172.2
103,"LaGrange, GA, USA",LaGrange,GA,29373.0,31885.0,13119.0,14249.0,148.0,67.0,120.0,253.0,268.0,349.0,591.0,172.0,2460.0,339.0,786.0,243.0,1114.0,496.0,151.0,55.0,Lagrange Police Dept,GA,12,30221.0,126.0,3,8.0,65,50,1785.0,464,1247.0,74,416.9,9.9,26.5,215.1,165.4,5906.5,1535.4,4126.3,244.9
119,"Kennesaw, GA, USA",Kennesaw,GA,29050.0,60288.0,18403.0,6385.0,57.0,0.0,33.0,65.0,86.0,189.0,79.0,36.0,1993.0,581.0,1324.0,567.0,2304.0,617.0,73.0,183.0,Kennesaw Police Dept,GA,12,30518.0,30.0,0,1.0,9,20,499.0,105,369.0,25,98.3,0.0,3.3,29.5,65.5,1635.1,344.1,1209.1,81.9
139,"Lawrenceville, GA, USA",Lawrenceville,GA,28234.0,46941.0,12403.0,9468.0,118.0,251.0,299.0,158.0,289.0,193.0,149.0,236.0,2287.0,418.0,1115.0,577.0,1085.0,268.0,124.0,20.0,Lawrenceville Police Dept,GA,12,29559.0,70.0,0,4.0,50,16,1061.0,214,804.0,43,236.8,0.0,13.5,169.2,54.1,3589.4,724.0,2720.0,145.5
149,"Gillette, WY, USA",Gillette,WY,28063.0,74404.0,25761.0,179.0,17.0,60.0,52.0,215.0,41.0,156.0,180.0,58.0,3258.0,556.0,1706.0,1014.0,1167.0,389.0,87.0,42.0,Gillette Police Dept,WY,12,29816.0,38.0,0,0.0,1,37,1194.0,138,1018.0,38,127.4,0.0,0.0,3.4,124.1,4004.6,462.8,3414.3,127.4
13,"Statesboro, GA, USA",Statesboro,GA,27922.0,19544.0,15100.0,10991.0,64.0,33.0,37.0,188.0,76.0,77.0,161.0,37.0,1360.0,262.0,819.0,187.0,725.0,264.0,51.0,202.0,Statesboro Police Dept,GA,12,29713.0,86.0,2,16.0,48,20,1307.0,297,964.0,46,289.4,6.7,53.8,161.5,67.3,4398.7,999.6,3244.4,154.8
196,"Hilliard, OH, USA",Hilliard,OH,27888.0,84543.0,25637.0,977.0,32.0,12.0,2.0,30.0,47.0,228.0,63.0,51.0,1611.0,470.0,1134.0,474.0,2805.0,806.0,357.0,218.0,Hilliard Police Dept,OH,12,28814.0,20.0,0,1.0,15,4,763.0,148,584.0,31,69.4,0.0,3.5,52.1,13.9,2648.0,513.6,2026.8,107.6
168,"Post Falls, ID, USA",Post Falls,ID,26913.0,48689.0,25688.0,84.0,0.0,5.0,33.0,110.0,41.0,160.0,178.0,43.0,2167.0,685.0,1731.0,953.0,1083.0,272.0,125.0,65.0,Post Falls Police Dept,ID,12,28294.0,52.0,0,6.0,4,42,964.0,205,718.0,41,183.8,0.0,21.2,14.1,148.4,3407.1,724.5,2537.6,144.9
221,"Crown Point, IN, USA",Crown Point,IN,26816.0,64227.0,22811.0,2237.0,31.0,51.0,75.0,114.0,91.0,146.0,237.0,113.0,2953.0,565.0,1309.0,607.0,1937.0,621.0,218.0,125.0,Crown Point Police Dept,IN,12,27890.0,7.0,0,2.0,2,3,514.0,56,435.0,23,25.1,0.0,7.2,7.2,10.8,1843.0,200.8,1559.7,82.5
138,"DeLand, FL, USA",DeLand,FL,26751.0,36527.0,19657.0,5060.0,126.0,57.0,86.0,140.0,132.0,149.0,282.0,81.0,2039.0,426.0,1092.0,603.0,1169.0,560.0,171.0,359.0,Deland Police Dept,FL,12,27410.0,128.0,2,1.0,37,88,1284.0,281,954.0,49,467.0,7.3,3.6,135.0,321.1,4684.4,1025.2,3480.5,178.8
210,"Anderson, SC, USA",Anderson,SC,26718.0,30166.0,16707.0,9287.0,206.0,35.0,182.0,232.0,300.0,267.0,359.0,277.0,2729.0,424.0,1102.0,239.0,841.0,440.0,175.0,117.0,Anderson Police Dept,SC,12,27127.0,250.0,7,10.0,38,195,1970.0,386,1458.0,126,921.6,25.8,36.9,140.1,718.8,7262.1,1422.9,5374.7,464.5
178,"Casselberry, FL, USA",Casselberry,FL,26256.0,43864.0,21908.0,1968.0,40.0,46.0,104.0,70.0,155.0,395.0,304.0,240.0,2439.0,621.0,1653.0,652.0,1443.0,429.0,145.0,73.0,Casselberry Police Dept,FL,12,26747.0,161.0,4,9.0,42,106,1070.0,205,822.0,43,601.9,15.0,33.6,157.0,396.3,4000.4,766.4,3073.2,160.8
74,"Paramus, NJ, USA",Paramus,NJ,26197.0,104105.0,19299.0,350.0,39.0,75.0,101.0,109.0,80.0,195.0,46.0,197.0,1998.0,419.0,786.0,406.0,2483.0,1209.0,526.0,140.0,Paramus Police Dept,NJ,12,26638.0,29.0,0,2.0,19,8,1373.0,54,1291.0,28,108.9,0.0,7.5,71.3,30.0,5154.3,202.7,4846.5,105.1
202,"Bridgeton, NJ, USA",Bridgeton,NJ,25146.0,35084.0,11512.0,8460.0,306.0,115.0,603.0,418.0,440.0,499.0,825.0,248.0,3566.0,657.0,682.0,182.0,383.0,163.0,9.0,5.0,Bridgeton Police Dept,NJ,12,25378.0,322.0,2,4.0,140,176,1108.0,484,582.0,42,1268.8,7.9,15.8,551.7,693.5,4366.0,1907.2,2293.3,165.5
209,"Statesville, NC, USA",Statesville,NC,24714.0,36317.0,14459.0,8197.0,134.0,20.0,155.0,371.0,298.0,321.0,217.0,193.0,2166.0,261.0,1250.0,583.0,1103.0,504.0,164.0,11.0,Statesville Police Dept,NC,12,25044.0,203.0,0,16.0,50,137,1636.0,635,933.0,68,810.6,0.0,63.9,199.6,547.0,6532.5,2535.5,3725.4,271.5
203,"Vicksburg, MS, USA",Vicksburg,MS,23961.0,26915.0,7502.0,15942.0,68.0,6.0,93.0,361.0,180.0,273.0,386.0,139.0,2222.0,241.0,969.0,416.0,969.0,333.0,119.0,90.0,Vicksburg Police Dept,MS,12,23700.0,174.0,2,21.0,29,122,1381.0,293,1037.0,51,734.2,8.4,88.6,122.4,514.8,5827.0,1236.3,4375.5,215.2
98,"South Plainfield, NJ, USA",South Plainfield,NJ,23237.0,91439.0,15540.0,2664.0,86.0,9.0,29.0,137.0,57.0,98.0,159.0,168.0,3039.0,363.0,1135.0,692.0,1312.0,670.0,77.0,59.0,South Plainfield Police Dept,NJ,12,23629.0,26.0,1,0.0,10,15,425.0,52,354.0,19,110.0,4.2,0.0,42.3,63.5,1798.6,220.1,1498.2,80.4
105,"Greenbelt, MD, USA",Greenbelt,MD,22922.0,61854.0,7724.0,11358.0,33.0,57.0,60.0,64.0,122.0,187.0,49.0,55.0,1782.0,285.0,934.0,441.0,1699.0,686.0,45.0,518.0,Greenbelt Police Dept,MD,12,23506.0,115.0,1,6.0,69,39,1035.0,247,651.0,137,489.2,4.3,25.5,293.5,165.9,4403.1,1050.8,2769.5,582.8
175,"Junction City, KS, USA",Junction City,KS,21798.0,43998.0,13433.0,5046.0,9.0,43.0,21.0,88.0,36.0,49.0,68.0,83.0,1906.0,611.0,1561.0,588.0,734.0,174.0,62.0,85.0,Junction City Police Dept,KS,12,24138.0,162.0,1,9.0,13,139,621.0,150,446.0,25,671.1,4.1,37.3,53.9,575.9,2572.7,621.4,1847.7,103.6
219,"Del City, OK, USA",Del City,OK,21429.0,40709.0,14516.0,4505.0,17.0,25.0,25.0,78.0,123.0,259.0,153.0,148.0,2062.0,659.0,1205.0,546.0,387.0,122.0,17.0,13.0,Del City Police Dept,OK,12,21880.0,142.0,3,14.0,29,96,1158.0,346,718.0,94,649.0,13.7,64.0,132.5,438.8,5292.5,1581.4,3281.5,429.6
159,"Cumberland, MD, USA",Cumberland,MD,20884.0,31827.0,18846.0,1221.0,38.0,0.0,14.0,225.0,120.0,175.0,92.0,81.0,2944.0,617.0,918.0,357.0,580.0,309.0,102.0,66.0,Cumberland Police Dept,MD,12,20939.0,166.0,0,15.0,27,124,1415.0,317,1068.0,30,792.8,0.0,71.6,128.9,592.2,6757.7,1513.9,5100.5,143.3
160,"Cumberland, MD, USA",Cumberland,MD,20884.0,31827.0,18846.0,1221.0,38.0,0.0,14.0,225.0,120.0,175.0,92.0,81.0,2944.0,617.0,918.0,357.0,580.0,309.0,102.0,66.0,Cumberland Police Dept,MD,12,7236.0,2.0,0,0.0,0,2,38.0,10,25.0,3,27.6,0.0,0.0,0.0,27.6,525.2,138.2,345.5,41.5
122,"Ashland, OH, USA",Ashland,OH,20569.0,40503.0,19552.0,298.0,43.0,0.0,9.0,147.0,44.0,134.0,182.0,181.0,1982.0,416.0,637.0,270.0,837.0,548.0,110.0,180.0,Ashland Police Dept,OH,12,20366.0,19.0,0,9.0,3,7,599.0,95,497.0,7,93.3,0.0,44.2,14.7,34.4,2941.2,466.5,2440.3,34.4
125,"Crestview, FL, USA",Crestview,FL,20543.0,48750.0,14873.0,3918.0,95.0,22.0,63.0,19.0,81.0,88.0,204.0,84.0,1751.0,326.0,1311.0,806.0,628.0,437.0,41.0,83.0,Crestview Police Dept,FL,12,21574.0,186.0,1,14.0,38,133,933.0,167,728.0,38,862.1,4.6,64.9,176.1,616.5,4324.7,774.1,3374.4,176.1
60,"Fort Walton Beach, FL, USA",Fort Walton Beach,FL,19820.0,47282.0,14836.0,3154.0,23.0,0.0,108.0,26.0,126.0,76.0,126.0,156.0,2103.0,628.0,1239.0,548.0,941.0,527.0,50.0,83.0,Fort Walton Beach Police Dept,FL,12,20063.0,48.0,1,4.0,7,36,772.0,143,586.0,43,239.2,5.0,19.9,34.9,179.4,3847.9,712.8,2920.8,214.3
156,"Decatur, GA, USA",Decatur,GA,19235.0,73602.0,13830.0,4504.0,56.0,0.0,16.0,35.0,11.0,7.0,39.0,107.0,652.0,114.0,542.0,203.0,1957.0,1039.0,567.0,325.0,Decatur Police Dept,GA,12,19764.0,39.0,0,0.0,25,14,652.0,92,498.0,62,197.3,0.0,0.0,126.5,70.8,3298.9,465.5,2519.7,313.7
254,"Tukwila, WA, USA",Tukwila,WA,18870.0,43887.0,9170.0,2967.0,293.0,81.0,104.0,130.0,126.0,183.0,150.0,227.0,1876.0,264.0,1107.0,438.0,934.0,229.0,59.0,31.0,Tukwila Police Dept,WA,12,19677.0,200.0,2,20.0,98,80,3161.0,282,2493.0,386,1016.4,10.2,101.6,498.0,406.6,16064.4,1433.1,12669.6,1961.7
147,"Morristown, NJ, USA",Morristown,NJ,18474.0,62600.0,13368.0,2968.0,271.0,97.0,82.0,264.0,44.0,166.0,74.0,134.0,1598.0,162.0,568.0,298.0,1349.0,496.0,175.0,119.0,Morristown Police Dept,NJ,12,18601.0,85.0,0,4.0,24,57,353.0,82,255.0,16,457.0,0.0,21.5,129.0,306.4,1897.7,440.8,1370.9,86.0
245,"Thomasville, GA, USA",Thomasville,GA,18437.0,29943.0,7695.0,10083.0,55.0,38.0,38.0,128.0,66.0,206.0,298.0,92.0,1970.0,189.0,603.0,248.0,665.0,327.0,199.0,139.0,Thomasville Police Dept,GA,12,18603.0,77.0,2,7.0,22,46,1195.0,353,791.0,51,413.9,10.8,37.6,118.3,247.3,6423.7,1897.5,4252.0,274.1
128,"Pooler, GA, USA",Pooler,GA,17799.0,71793.0,11283.0,4936.0,48.0,2.0,0.0,24.0,24.0,29.0,57.0,14.0,1474.0,375.0,1193.0,342.0,1289.0,420.0,309.0,103.0,Pooler Police Dept,GA,12,19850.0,27.0,1,4.0,11,11,510.0,112,367.0,31,136.0,5.0,20.2,55.4,55.4,2569.3,564.2,1848.9,156.2
234,"Tinton Falls, NJ, USA",Tinton Falls,NJ,17664.0,74879.0,14555.0,1555.0,63.0,2.0,17.0,35.0,25.0,58.0,127.0,64.0,1266.0,377.0,644.0,344.0,1545.0,849.0,236.0,136.0,Tinton Falls Police Dept,NJ,12,17999.0,13.0,1,0.0,2,10,457.0,66,384.0,7,72.2,5.6,0.0,11.1,55.6,2539.0,366.7,2133.5,38.9
93,"Ocean Springs, MS, USA",Ocean Springs,MS,17379.0,61469.0,14820.0,1830.0,35.0,0.0,63.0,175.0,47.0,77.0,31.0,143.0,1267.0,422.0,1049.0,547.0,1002.0,469.0,382.0,164.0,Ocean Springs Police Dept,MS,12,17510.0,34.0,2,2.0,5,25,549.0,106,419.0,24,194.2,11.4,11.4,28.6,142.8,3135.4,605.4,2392.9,137.1
241,"Cohoes, NY, USA",Cohoes,NY,16132.0,43535.0,14771.0,551.0,23.0,14.0,12.0,219.0,94.0,230.0,30.0,83.0,2102.0,284.0,728.0,757.0,692.0,156.0,53.0,39.0,Cohoes Police Dept,NY,12,16220.0,43.0,0,4.0,8,31,297.0,91,196.0,10,265.1,0.0,24.7,49.3,191.1,1831.1,561.0,1208.4,61.7
246,"Secaucus, NJ, USA",Secaucus,NJ,16125.0,83289.0,11271.0,656.0,33.0,100.0,62.0,69.0,96.0,259.0,47.0,64.0,1529.0,291.0,578.0,437.0,1386.0,699.0,150.0,118.0,Secaucus Police Dept,NJ,12,16517.0,16.0,0,0.0,16,0,462.0,36,377.0,49,96.9,0.0,0.0,96.9,0.0,2797.1,218.0,2282.5,296.7
120,"Floral Park, NY, USA",Floral Park,NY,16074.0,113478.0,13973.0,367.0,30.0,0.0,112.0,87.0,0.0,66.0,10.0,158.0,1287.0,277.0,591.0,408.0,1349.0,468.0,220.0,86.0,Floral Park Police Dept,NY,12,16010.0,3.0,0,0.0,1,2,64.0,13,48.0,3,18.7,0.0,0.0,6.2,12.5,399.8,81.2,299.8,18.7
136,"Maitland, FL, USA",Maitland,FL,15818.0,74974.0,12634.0,1186.0,16.0,14.0,13.0,16.0,32.0,37.0,14.0,77.0,676.0,140.0,541.0,354.0,1817.0,925.0,496.0,186.0,Maitland Police Dept,FL,12,16295.0,24.0,0,2.0,3,19,445.0,150,269.0,26,147.3,0.0,12.3,18.4,116.6,2730.9,920.5,1650.8,159.6
64,"Anacortes, WA, USA",Anacortes,WA,15775.0,57901.0,14484.0,199.0,0.0,0.0,15.0,38.0,62.0,110.0,121.0,66.0,1251.0,445.0,1049.0,388.0,1342.0,559.0,160.0,96.0,Anacortes Police Dept,WA,12,16097.0,16.0,0,1.0,2,13,577.0,157,386.0,34,99.4,0.0,6.2,12.4,80.8,3584.5,975.3,2398.0,211.2
9,"Brunswick, GA, USA",Brunswick,GA,15482.0,28196.0,4894.0,9315.0,48.0,77.0,111.0,141.0,191.0,301.0,295.0,36.0,1802.0,206.0,569.0,244.0,489.0,50.0,52.0,64.0,Brunswick Police Dept,GA,12,15691.0,220.0,4,3.0,61,152,1113.0,294,788.0,31,1402.1,25.5,19.1,388.8,968.7,7093.2,1873.7,5022.0,197.6
185,"Elkton, MD, USA",Elkton,MD,15240.0,57512.0,11758.0,2305.0,70.0,45.0,86.0,170.0,198.0,217.0,106.0,50.0,1673.0,308.0,585.0,134.0,501.0,211.0,42.0,26.0,Elkton Police Dept,MD,12,798.0,1.0,0,0.0,0,1,11.0,4,7.0,0,125.3,0.0,0.0,0.0,125.3,1378.4,501.3,877.2,0.0
184,"Elkton, MD, USA",Elkton,MD,15240.0,57512.0,11758.0,2305.0,70.0,45.0,86.0,170.0,198.0,217.0,106.0,50.0,1673.0,308.0,585.0,134.0,501.0,211.0,42.0,26.0,Elkton Police Dept,MD,12,15681.0,195.0,2,11.0,48,134,1265.0,234,1000.0,31,1243.5,12.8,70.1,306.1,854.5,8067.1,1492.3,6377.1,197.7
99,"Riverdale, GA, USA",Riverdale,GA,15125.0,37110.0,1419.0,11107.0,52.0,40.0,52.0,42.0,109.0,86.0,97.0,46.0,1627.0,157.0,617.0,472.0,419.0,181.0,74.0,0.0,Riverdale Police Dept,GA,12,15414.0,119.0,1,1.0,45,72,914.0,291,541.0,82,772.0,6.5,6.5,291.9,467.1,5929.7,1887.9,3509.8,532.0
162,"Conyers, GA, USA",Conyers,GA,14871.0,37805.0,5349.0,8383.0,0.0,52.0,336.0,84.0,209.0,105.0,183.0,91.0,1275.0,426.0,462.0,267.0,368.0,146.0,17.0,9.0,Conyers Police Dept,GA,12,15455.0,66.0,0,1.0,27,38,1007.0,161,759.0,87,427.0,0.0,6.5,174.7,245.9,6515.7,1041.7,4911.0,562.9
194,"Glens Falls, NY, USA",Glens Falls,NY,14733.0,43704.0,14099.0,273.0,43.0,0.0,2.0,86.0,44.0,71.0,79.0,64.0,1699.0,256.0,615.0,459.0,924.0,235.0,114.0,49.0,Glens Falls Police Dept,NY,12,14807.0,43.0,1,3.0,2,37,372.0,51,315.0,6,290.4,6.8,20.3,13.5,249.9,2512.3,344.4,2127.4,40.5
86,"St. Louis, MO, USA",St. Louis,MO,14231.0,77716.0,12867.0,395.0,0.0,0.0,0.0,105.0,0.0,37.0,15.0,25.0,834.0,281.0,815.0,433.0,1592.0,730.0,102.0,101.0,St. Louis Police Dept,MO,9,7453.0,6.0,0,3.0,0,3,85.0,12,72.0,1,,,,,,,,,
90,"Moss Point, MS, USA",Moss Point,MS,13885.0,36923.0,3294.0,10250.0,102.0,66.0,12.0,113.0,163.0,375.0,214.0,200.0,1797.0,384.0,742.0,155.0,388.0,77.0,43.0,20.0,Moss Point Police Dept,MS,12,13756.0,104.0,0,12.0,29,63,736.0,314,368.0,54,756.0,0.0,87.2,210.8,458.0,5350.4,2282.6,2675.2,392.6
87,"Riverhead, NY, USA",Riverhead,NY,12753.0,51205.0,8908.0,2036.0,67.0,0.0,109.0,158.0,38.0,67.0,124.0,116.0,1601.0,277.0,332.0,429.0,439.0,322.0,139.0,69.0,Riverhead Police Dept,NY,12,33809.0,76.0,0,4.0,30,42,980.0,122,835.0,23,224.8,0.0,11.8,88.7,124.2,2898.6,360.9,2469.8,68.0
208,"Cayce, SC, USA",Cayce,SC,12417.0,41271.0,9194.0,2782.0,34.0,6.0,34.0,35.0,67.0,125.0,100.0,128.0,1295.0,339.0,560.0,285.0,607.0,135.0,45.0,30.0,Cayce Police Dept,SC,12,12864.0,103.0,3,4.0,13,83,688.0,120,497.0,71,800.7,23.3,31.1,101.1,645.2,5348.3,932.8,3863.5,551.9
255,"Southern Pines, NC, USA",Southern Pines,NC,12244.0,43650.0,8405.0,3306.0,59.0,17.0,148.0,34.0,112.0,47.0,0.0,123.0,839.0,279.0,460.0,251.0,896.0,372.0,257.0,111.0,Southern Pines Police Dept,NC,12,12611.0,86.0,1,4.0,26,55,510.0,148,342.0,20,681.9,7.9,31.7,206.2,436.1,4044.1,1173.6,2711.9,158.6
174,"Lake City, FL, USA",Lake City,FL,12222.0,30812.0,6420.0,5426.0,66.0,46.0,34.0,83.0,40.0,87.0,169.0,115.0,1415.0,166.0,547.0,217.0,331.0,86.0,82.0,20.0,Lake City Police Dept,FL,12,12190.0,179.0,3,6.0,26,144,1004.0,253,734.0,17,1468.4,24.6,49.2,213.3,1181.3,8236.3,2075.5,6021.3,139.5
231,"Red Bank, NJ, USA",Red Bank,NJ,12172.0,62764.0,8783.0,1660.0,63.0,54.0,272.0,98.0,54.0,6.0,77.0,70.0,1111.0,276.0,406.0,320.0,1127.0,405.0,83.0,47.0,Red Bank Police Dept,NJ,12,12278.0,36.0,1,3.0,22,10,237.0,32,198.0,7,293.2,8.1,24.4,179.2,81.4,1930.3,260.6,1612.6,57.0
127,"Chamblee, GA, USA",Chamblee,GA,12095.0,54819.0,6633.0,1509.0,185.0,395.0,521.0,46.0,219.0,137.0,29.0,12.0,677.0,105.0,393.0,125.0,1202.0,318.0,102.0,98.0,Chamblee Police Dept,GA,12,15842.0,48.0,0,2.0,29,17,611.0,99,450.0,62,303.0,0.0,12.6,183.1,107.3,3856.8,624.9,2840.6,391.4
143,"Renton, WA, USA",Renton,WA,12087.0,88411.0,10127.0,186.0,2.0,7.0,16.0,0.0,18.0,0.0,25.0,66.0,808.0,510.0,690.0,410.0,1011.0,453.0,43.0,81.0,Renton Police Dept,WA,12,93722.0,283.0,2,27.0,115,139,4562.0,897,3048.0,617,302.0,2.1,28.8,122.7,148.3,4867.6,957.1,3252.2,658.3
173,"Largo, FL, USA",Largo,FL,11916.0,51798.0,10995.0,589.0,141.0,10.0,18.0,12.0,172.0,125.0,62.0,133.0,1534.0,346.0,582.0,401.0,893.0,345.0,89.0,37.0,Largo Police Dept,FL,12,78783.0,394.0,1,43.0,114,236,3117.0,574,2413.0,130,500.1,1.3,54.6,144.7,299.6,3956.4,728.6,3062.8,165.0
100,"Holly Hill, FL, USA",Holly Hill,FL,11870.0,31088.0,9863.0,1343.0,38.0,26.0,41.0,118.0,186.0,99.0,51.0,171.0,1807.0,253.0,606.0,150.0,461.0,98.0,27.0,24.0,Holly Hill Police Dept,FL,12,11822.0,66.0,1,3.0,12,50,635.0,133,433.0,69,558.3,8.5,25.4,101.5,422.9,5371.3,1125.0,3662.7,583.7
129,"Lilburn, GA, USA",Lilburn,GA,11786.0,61536.0,6209.0,1607.0,69.0,104.0,105.0,140.0,83.0,52.0,129.0,90.0,898.0,204.0,525.0,172.0,748.0,226.0,53.0,41.0,Lilburn Police Dept,GA,12,12079.0,46.0,0,3.0,22,21,789.0,99,656.0,34,380.8,0.0,24.8,182.1,173.9,6532.0,819.6,5430.9,281.5
88,"Bellmawr, NJ, USA",Bellmawr,NJ,11591.0,56390.0,9792.0,319.0,65.0,1.0,97.0,124.0,121.0,185.0,142.0,127.0,1685.0,278.0,363.0,204.0,342.0,143.0,65.0,56.0,Bellmawr Police Dept,NJ,12,11629.0,21.0,0,0.0,7,14,291.0,70,202.0,19,180.6,0.0,0.0,60.2,120.4,2502.4,601.9,1737.0,163.4
124,"Mandeville, LA, USA",Mandeville,LA,11561.0,64028.0,10166.0,457.0,41.0,6.0,28.0,0.0,50.0,54.0,114.0,20.0,749.0,175.0,828.0,251.0,949.0,364.0,213.0,86.0,Mandeville Police Dept,LA,12,11777.0,26.0,0,5.0,2,19,342.0,52,282.0,8,220.8,0.0,42.5,17.0,161.3,2904.0,441.5,2394.5,67.9
228,"Bluffton, SC, USA",Bluffton,SC,11547.0,57461.0,8308.0,2276.0,60.0,55.0,163.0,28.0,65.0,110.0,103.0,0.0,1156.0,192.0,393.0,334.0,673.0,299.0,91.0,41.0,Bluffton Police Dept,SC,12,12855.0,39.0,0,5.0,15,19,461.0,72,372.0,17,303.4,0.0,38.9,116.7,147.8,3586.2,560.1,2893.8,132.2
77,"Cocoa Beach, FL, USA",Cocoa Beach,FL,11498.0,53951.0,11036.0,87.0,9.0,2.0,9.0,31.0,12.0,53.0,27.0,49.0,891.0,204.0,661.0,360.0,1120.0,838.0,159.0,105.0,Cocoa Beach Police Dept,FL,12,11388.0,90.0,0,5.0,21,64,828.0,109,694.0,25,790.3,0.0,43.9,184.4,562.0,7270.8,957.1,6094.1,219.5
91,"Corning, NY, USA",Corning,NY,11138.0,38920.0,10420.0,345.0,13.0,0.0,2.0,109.0,12.0,24.0,61.0,45.0,1197.0,213.0,378.0,511.0,514.0,281.0,111.0,97.0,Corning Police Dept,NY,12,11247.0,30.0,0,8.0,3,19,318.0,40,275.0,3,266.7,0.0,71.1,26.7,168.9,2827.4,355.7,2445.1,26.7
73,"Edgewater, NJ, USA",Edgewater,NJ,11078.0,91554.0,5875.0,711.0,0.0,0.0,0.0,13.0,11.0,11.0,48.0,48.0,212.0,128.0,302.0,81.0,1552.0,779.0,351.0,347.0,Edgewater Police Dept,NJ,12,11647.0,9.0,0,0.0,5,4,193.0,26,157.0,10,77.3,0.0,0.0,42.9,34.3,1657.1,223.2,1348.0,85.9
111,"Lantana, FL, USA",Lantana,FL,10392.0,42731.0,6657.0,2440.0,60.0,46.0,15.0,125.0,66.0,227.0,136.0,53.0,1010.0,237.0,458.0,305.0,447.0,101.0,49.0,47.0,Lantana Police Dept,FL,12,10687.0,60.0,0,7.0,23,30,491.0,108,374.0,9,561.4,0.0,65.5,215.2,280.7,4594.4,1010.6,3499.6,84.2
85,"Denham Springs, LA, USA",Denham Springs,LA,10281.0,46074.0,8372.0,1736.0,42.0,17.0,11.0,82.0,43.0,53.0,113.0,61.0,1046.0,134.0,637.0,138.0,355.0,49.0,38.0,23.0,Denham Springs Police Dept,LA,12,10451.0,76.0,0,3.0,26,47,913.0,125,770.0,18,727.2,0.0,28.7,248.8,449.7,8736.0,1196.1,7367.7,172.2
218,"Norcross, GA, USA",Norcross,GA,9222.0,49219.0,3648.0,2025.0,22.0,139.0,551.0,91.0,103.0,30.0,10.0,154.0,699.0,60.0,290.0,184.0,631.0,240.0,39.0,48.0,Norcross Police Dept,GA,12,9440.0,79.0,5,6.0,36,32,618.0,183,394.0,41,836.9,53.0,63.6,381.4,339.0,6546.6,1938.6,4173.7,434.3
250,"Bladensburg, MD, USA",Bladensburg,MD,9025.0,43150.0,1551.0,6400.0,42.0,19.0,196.0,13.0,132.0,68.0,183.0,52.0,757.0,204.0,372.0,178.0,279.0,154.0,21.0,57.0,Bladensburg Police Dept,MD,12,9322.0,93.0,2,3.0,47,41,469.0,106,266.0,97,997.6,21.5,32.2,504.2,439.8,5031.1,1137.1,2853.5,1040.5
148,"East Rutherford, NJ, USA",East Rutherford,NJ,8875.0,65813.0,5980.0,175.0,0.0,0.0,22.0,27.0,29.0,90.0,15.0,69.0,822.0,177.0,619.0,219.0,854.0,227.0,86.0,16.0,East Rutherford Police Dept,NJ,12,9016.0,8.0,1,0.0,3,4,169.0,24,122.0,23,88.7,11.1,0.0,33.3,44.4,1874.4,266.2,1353.1,255.1
96,"Rutherford, NJ, USA",Rutherford,NJ,8875.0,65813.0,5980.0,175.0,0.0,0.0,22.0,27.0,29.0,90.0,15.0,69.0,822.0,177.0,619.0,219.0,854.0,227.0,86.0,16.0,Rutherford Police Dept,NJ,12,18268.0,8.0,0,0.0,3,5,304.0,76,214.0,14,43.8,0.0,0.0,16.4,27.4,1664.1,416.0,1171.4,76.6
211,"Doraville, GA, USA",Doraville,GA,8363.0,42443.0,4454.0,928.0,72.0,205.0,545.0,27.0,172.0,22.0,45.0,125.0,744.0,88.0,272.0,90.0,341.0,140.0,29.0,0.0,Doraville Police Dept,GA,12,8519.0,31.0,0,0.0,19,12,268.0,43,196.0,29,363.9,0.0,0.0,223.0,140.9,3145.9,504.8,2300.7,340.4
