Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Colonial Heights Police Dept,WA,12,17632,40,0,2,9,29,976,57,878,41,226.9,.0,11.3,51.0,164.5,5535.4,323.3,4979.6,232.5
Colton Police Dept,WA,4,427,0,0,0,0,0,0,0,0,0,,,,,,,,,
Columbia County Sheriff Department,WA,12,,7,1,2,0,4,165,47,116,2,,,,,,,,,
Colville Police Dept,WA,12,4715,1,0,0,0,1,136,11,122,3,21.2,.0,.0,.0,21.2,2884.4,233.3,2587.5,63.6
Connell Police Dept,WA,12,5328,6,0,1,2,3,34,13,19,2,112.6,.0,18.8,37.5,56.3,638.1,244.0,356.6,37.5
Cosmopolis Police Dept,WA,11,1659,0,0,0,0,0,13,4,9,0,,,,,,,,,
Coulee Dam Police Dept,WA,12,1118,4,0,1,1,2,16,6,8,2,357.8,.0,89.4,89.4,178.9,1431.1,536.7,715.6,178.9
Coupeville Police Dept,WA,12,1860,2,0,2,0,0,36,18,17,1,107.5,.0,107.5,.0,.0,1935.5,967.7,914.0,53.8
Covington Police Dept,WA,12,6004,13,1,0,1,11,147,26,118,3,216.5,16.7,.0,16.7,183.2,2448.4,433.0,1965.4,50.0
Cowlitz County Sheriff Office,WA,12,,84,3,35,1,45,537,186,309,42,,,,,,,,,
Craig County Sheriff Department,WA,12,,5,0,0,0,5,7,1,6,0,,,,,,,,,
Crewe Police Dept,WA,12,2351,7,0,3,2,2,76,20,51,5,297.7,.0,127.6,85.1,85.1,3232.7,850.7,2169.3,212.7
Culpeper County Sheriff Office,WA,12,,25,0,5,1,19,308,67,216,25,,,,,,,,,
Culpeper Town Police Dept,WA,12,16846,45,0,8,13,24,573,34,516,23,267.1,.0,47.5,77.2,142.5,3401.4,201.8,3063.0,136.5
Cumberland County Sheriff Department,WA,12,,19,0,0,0,19,71,20,38,13,,,,,,,,,
Damascus Police Dept,WA,12,822,7,0,1,0,6,23,1,19,3,851.6,.0,121.7,.0,729.9,2798.1,121.7,2311.4,365.0
Danville Police Dept,WA,12,43324,135,3,15,54,63,1944,422,1477,45,311.6,6.9,34.6,124.6,145.4,4487.1,974.1,3409.2,103.9
Dayton Police Dept,WA,12,1552,0,0,0,0,0,8,1,7,0,.0,.0,.0,.0,.0,515.5,64.4,451.0,.0
Des Moines Police Dept,WA,12,30555,93,0,2,34,57,1206,244,740,222,304.4,.0,6.5,111.3,186.5,3947.0,798.6,2421.9,726.6
Dickenson County Sheriff Office,WA,12,,7,1,0,0,6,140,9,119,12,,,,,,,,,
Dinwiddie County Sheriff Department,WA,12,,49,2,7,6,34,421,111,278,32,,,,,,,,,
Douglas County Sheriff Department,WA,12,,20,0,4,3,13,464,184,257,23,,,,,,,,,
Dover Police Dept,WA,12,1116,1,0,0,0,1,98,23,75,0,89.6,.0,.0,.0,89.6,8781.4,2060.9,6720.4,.0
Draper,WA,12,43600,43,1,6,4,32,866,153,677,36,98.6,2.3,13.8,9.2,73.4,1986.2,350.9,1552.8,82.6
Dublin Police Dept,WA,12,2547,2,0,0,0,2,60,8,50,2,78.5,.0,.0,.0,78.5,2355.7,314.1,1963.1,78.5
Duchesne County Sheriff Department,WA,12,,24,0,2,0,22,309,58,237,14,,,,,,,,,
Dumfries Police Dept,WA,12,5227,4,0,0,1,3,73,9,58,6,76.5,.0,.0,19.1,57.4,1396.6,172.2,1109.6,114.8
Dupont Police Dept,WA,12,8379,12,0,0,1,11,66,19,45,2,143.2,.0,.0,11.9,131.3,787.7,226.8,537.1,23.9
Duvall,WA,12,6895,1,0,0,0,1,51,11,38,2,14.5,.0,.0,.0,14.5,739.7,159.5,551.1,29.0
East Carbon City Police Dept,WA,12,1312,18,0,3,0,15,139,49,83,7,1372.0,.0,228.7,.0,1143.3,10594.5,3734.8,6326.2,533.5
East Wenatchee Police Dept,WA,12,13506,18,1,7,4,6,372,74,289,9,133.3,7.4,51.8,29.6,44.4,2754.3,547.9,2139.8,66.6
Eatonville Police Dept,WA,12,2818,5,0,1,0,4,75,20,53,2,177.4,.0,35.5,.0,141.9,2661.5,709.7,1880.8,71.0
Edinburg Police Dept,WA,12,1059,0,0,0,0,0,8,4,3,1,.0,.0,.0,.0,.0,755.4,377.7,283.3,94.4
Edmonds Police Dept,WA,12,40609,57,1,4,20,32,1004,260,694,50,140.4,2.5,9.9,49.3,78.8,2472.4,640.3,1709.0,123.1
Elkton Police Dept,WA,12,2767,0,0,0,0,0,43,7,31,5,.0,.0,.0,.0,.0,1554.0,253.0,1120.3,180.7
Ellensburg Police Dept,WA,12,18649,30,0,9,4,17,810,121,647,42,160.9,.0,48.3,21.4,91.2,4343.4,648.8,3469.4,225.2
Elma Police Dept,WA,12,3125,7,0,2,2,3,181,47,126,8,224.0,.0,64.0,64.0,96.0,5792.0,1504.0,4032.0,256.0
Emery County Sheriff Office,WA,12,,8,0,2,0,6,184,52,121,11,,,,,,,,,
Emporia Police Dept,WA,12,5936,32,0,3,5,24,299,71,213,15,539.1,.0,50.5,84.2,404.3,5037.1,1196.1,3588.3,252.7
Enumclaw Police Dept,WA,12,11195,5,0,3,0,2,307,48,224,35,44.7,.0,26.8,.0,17.9,2742.3,428.8,2000.9,312.6
Ephrata Police Dept,WA,12,7919,17,1,3,5,8,386,93,284,9,214.7,12.6,37.9,63.1,101.0,4874.4,1174.4,3586.3,113.7
Essex County Sheriff Office,WA,12,,17,0,1,0,16,88,38,45,5,,,,,,,,,
Essex County Sheriff Department,WA,12,,0,0,0,0,0,32,15,17,0,,,,,,,,,
