Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Sussex State Police,FL,12,,569,4,47,75,443,3832,1279,2398,155,,,,,,,,,
Springfield Police Dept,FL,12,1474,1,0,0,0,1,5,0,5,0,67.8,.0,.0,.0,67.8,339.2,.0,339.2,.0
Stamford Police Dept,FL,12,124201,351,5,25,145,176,1932,290,1472,170,282.6,4.0,20.1,116.7,141.7,1555.5,233.5,1185.2,136.9
Steamboat Springs Police Dept,FL,12,12116,35,0,8,4,23,322,45,259,18,288.9,.0,66.0,33.0,189.8,2657.6,371.4,2137.7,148.6
Sterling Police Dept,FL,12,14929,31,1,3,3,24,431,110,310,11,207.6,6.7,20.1,20.1,160.8,2887.0,736.8,2076.5,73.7
Stonington Police Dept,FL,12,18556,11,0,3,1,7,330,66,257,7,59.3,.0,16.2,5.4,37.7,1778.4,355.7,1385.0,37.7
Stratford Police Dept,FL,12,52041,104,0,15,28,61,1413,245,1070,98,199.8,.0,28.8,53.8,117.2,2715.2,470.8,2056.1,188.3
Stratton Town Police Dept,FL,12,676,0,0,0,0,0,9,2,7,0,.0,.0,.0,.0,.0,1331.4,295.9,1035.5,.0
Suffield Police Dept,FL,12,15789,4,0,1,0,3,131,25,105,1,25.3,.0,6.3,.0,19.0,829.7,158.3,665.0,6.3
Summit County Sheriff Department,FL,12,,17,1,10,0,6,227,28,194,5,,,,,,,,,
Teller County Sheriff Department,FL,12,,21,0,3,0,18,78,28,47,3,,,,,,,,,
Telluride Marshal'S Dept,FL,12,2401,6,0,0,0,6,115,8,105,2,249.9,.0,.0,.0,249.9,4789.7,333.2,4373.2,83.3
Thomaston Police Dept,FL,12,7859,4,0,0,0,4,138,58,72,8,50.9,.0,.0,.0,50.9,1755.9,738.0,916.1,101.8
Thornton Police Dept,FL,12,123115,332,1,58,41,232,3257,476,2431,350,269.7,.8,47.1,33.3,188.4,2645.5,386.6,1974.6,284.3
Torrington Police Dept,FL,12,36264,51,0,18,11,22,842,111,711,20,140.6,.0,49.6,30.3,60.7,2321.9,306.1,1960.6,55.2
Trinidad,FL,12,8939,18,0,1,7,10,166,41,120,5,201.4,.0,11.2,78.3,111.9,1857.0,458.7,1342.4,55.9
Trumbull Police Dept,FL,12,36474,14,0,0,11,3,531,52,449,30,38.4,.0,.0,30.2,8.2,1455.8,142.6,1231.0,82.3
Vail Police Dept,FL,12,5343,22,0,2,0,20,280,22,252,6,411.8,.0,37.4,.0,374.3,5240.5,411.8,4716.5,112.3
Vernon Police Dept,FL,12,29217,46,0,5,7,34,311,65,237,9,157.4,.0,17.1,24.0,116.4,1064.4,222.5,811.2,30.8
Wallingford Police Dept,FL,12,45183,15,0,2,10,3,914,161,728,25,33.2,.0,4.4,22.1,6.6,2022.9,356.3,1611.2,55.3
Walsenburg Police Dept,FL,12,3021,25,0,3,6,16,125,36,87,2,827.5,.0,99.3,198.6,529.6,4137.7,1191.7,2879.8,66.2
Washington County Sheriff Department,FL,12,,16,0,3,0,13,76,15,56,5,,,,,,,,,
Washington Metropolitan Police Dept,FL,12,632323,7448,88,236,3725,3399,29264,3519,22196,3549,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3
Waterbury Police Dept,FL,12,110486,328,5,7,185,131,4713,662,3538,513,296.9,4.5,6.3,167.4,118.6,4265.7,599.2,3202.2,464.3
Waterford Police Dept,FL,12,19529,45,1,0,6,38,515,55,451,9,230.4,5.1,.0,30.7,194.6,2637.1,281.6,2309.4,46.1
Watertown Police Dept,FL,12,22437,25,2,4,3,16,520,86,412,22,111.4,8.9,17.8,13.4,71.3,2317.6,383.3,1836.3,98.1
Weld,FL,12,,151,4,9,5,133,804,248,492,64,,,,,,,,,
West Hartford Police Dept,FL,12,63487,46,0,2,35,9,1695,243,1348,104,72.5,.0,3.2,55.1,14.2,2669.8,382.8,2123.3,163.8
West Haven Police Dept,FL,12,55626,319,1,1,58,259,1447,197,1076,174,573.5,1.8,1.8,104.3,465.6,2601.3,354.2,1934.3,312.8
Westminster Police Dept,FL,12,109461,284,2,29,51,202,2830,395,2146,289,259.5,1.8,26.5,46.6,184.5,2585.4,360.9,1960.5,264.0
Weston Police Dept,FL,12,10309,3,0,0,0,3,41,11,30,0,29.1,.0,.0,.0,29.1,397.7,106.7,291.0,.0
Westport Police Dept,FL,12,26728,11,0,0,2,9,318,40,271,7,41.2,.0,.0,7.5,33.7,1189.8,149.7,1013.9,26.2
Wethersfield Police Dept,FL,12,26762,23,0,1,11,11,410,62,328,20,85.9,.0,3.7,41.1,41.1,1532.0,231.7,1225.6,74.7
Wheat Ridge Police Dept,FL,12,30886,117,2,19,24,72,1204,182,930,92,378.8,6.5,61.5,77.7,233.1,3898.2,589.3,3011.1,297.9
Wiggins Police Dept,FL,2,912,0,0,0,0,0,0,0,0,0,,,,,,,,,
Willimantic Police Dept,FL,12,17818,27,0,1,13,13,433,104,276,53,151.5,.0,5.6,73.0,73.0,2430.1,583.7,1549.0,297.5
Wilmington Police Dept,FL,12,72088,1228,26,34,474,694,3824,1212,2247,365,1703.5,36.1,47.2,657.5,962.7,5304.6,1681.3,3117.0,506.3
Wilton Police Dept,FL,12,18291,2,1,0,0,1,93,17,75,1,10.9,5.5,.0,.0,5.5,508.4,92.9,410.0,5.5
Winchester Town Police Dept,FL,12,11205,15,0,2,4,9,253,81,161,11,133.9,.0,17.8,35.7,80.3,2257.9,722.9,1436.9,98.2
Windsor Police Dept,FL,12,19330,2,0,0,0,2,222,37,182,3,10.3,.0,.0,.0,10.3,1148.5,191.4,941.5,15.5
Windsor Police Dept,FL,12,29145,15,0,4,7,4,429,55,361,13,51.5,.0,13.7,24.0,13.7,1472.0,188.7,1238.6,44.6
Windsor Locks Police Dept,FL,12,12541,10,0,2,4,4,225,49,166,10,79.7,.0,15.9,31.9,31.9,1794.1,390.7,1323.7,79.7
Wolcott Police Dept,FL,12,16697,6,0,1,5,0,318,78,226,14,35.9,.0,6.0,29.9,.0,1904.5,467.1,1353.5,83.8
Woodbridge Police Dept,FL,12,9000,8,0,1,2,5,107,23,77,7,88.9,.0,11.1,22.2,55.6,1188.9,255.6,855.6,77.8
Woodland Park Police Dept,FL,12,7301,10,0,2,0,8,90,15,68,7,137.0,.0,27.4,.0,109.6,1232.7,205.5,931.4,95.9
