"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"187",174706,32291,139334,590,211,227,980,851,1815,1836,1476,13885,2215,10152,2195,6205,1912,1733,612,32232,"16000US2836000","jackson"
"188",40998,14602,25103,171,74,229,217,210,450,514,462,3261,605,1860,895,1613,615,208,134,28137,"16000US2846640","meridian"
"189",2977179,1769848,1112470,14275,6805,12928,29713,24246,38117,39551,20291,286911,46983,151028,62844,108354,36695,14656,10628,37792,"04000US28","northmiss"
"190",6009025,4983458,693114,14986,5408,12091,46089,31191,51335,54546,32416,624399,134679,292487,123136,312024,119543,40583,26824,46068,"04000US29","columbiamo"
"191",51822,45609,NA,118,0,14,380,359,508,532,334,4890,1231,2560,1116,2124,826,355,354,36348,"16000US2937592","joplin"
"192",462292,273962,135508,1422,425,1834,2024,2518,3273,4064,2906,38255,9024,23589,9416,28925,11001,4224,1711,44277,"16000US2938000","kc"
"193",6009025,4983458,693114,14986,5408,12091,46089,31191,51335,54546,32416,624399,134679,292487,123136,312024,119543,40583,26824,46068,"04000US29","loz"
"194",6009025,4983458,693114,14986,5408,12091,46089,31191,51335,54546,32416,624399,134679,292487,123136,312024,119543,40583,26824,46068,"04000US29","semo"
"195",160748,142910,6375,346,156,369,702,759,1773,1379,737,13946,4091,8446,2903,8300,2423,1194,911,32359,"16000US2970000","springfieldmo"
"196",76953,67305,4032,392,72,112,799,678,717,769,380,9222,1668,3972,1098,2816,1000,444,266,40742,"16000US2964550","stjoseph"
"197",318612,143008,154965,1547,406,1014,2656,2006,3036,4206,2870,26084,5586,16726,5712,17238,7331,2844,2104,33299,"16000US2965000","stlouis"
"198",105648,94681,NA,143,43,96,437,365,391,439,601,10419,2323,5850,2275,7672,1833,1037,493,46655,"16000US3006550","billings"
"199",38022,35196,NA,0,0,0,55,22,67,71,110,1424,541,2105,626,3779,1285,237,622,44106,"16000US3008950","bozeman"
"200",997852,893164,4621,1257,429,901,5905,3757,5172,6183,4692,105053,21569,60746,24714,64068,19130,7508,5266,45072,"04000US30","butte"
"201",58876,51797,NA,66,0,29,426,303,287,522,330,5948,1447,3438,1819,3249,686,507,50,42171,"16000US3032800","greatfalls"
"202",28722,27042,NA,79,0,35,99,78,131,46,88,1499,582,1567,460,2469,1268,459,274,49635,"16000US3035600","helena"
"203",20227,19111,NA,51,0,5,62,0,48,121,69,1527,492,1134,323,1221,534,46,27,38340,"16000US3040075","kalispell"
"204",67643,62447,NA,43,18,1,85,109,155,93,215,4312,1080,4736,1479,5375,2167,855,764,40369,"16000US3050200","missoula"
"205",49317,45324,NA,305,459,483,228,527,328,474,314,5501,1068,2152,1189,1673,350,284,106,43249,"16000US3119595","grandisland"
"206",262214,230330,10438,666,137,669,491,653,671,1115,826,19104,5537,13195,8692,17361,5505,2203,3037,48295,"16000US3128000","lincoln"
"207",24642,23051,NA,69,232,0,175,27,145,109,17,2822,876,1278,675,868,223,73,34,42264,"16000US3135000","northplatte"
"208",416374,315436,54523,2181,1567,1642,2821,1908,2427,2771,2421,29605,8828,22764,8028,28025,8369,3747,2178,46202,"16000US3137000","omaha"
"209",589541,400544,63972,2871,2036,5814,3493,5001,3494,5164,5202,56297,12719,35395,13895,26907,8929,3560,1859,49726,"16000US3240000","lasvegas"
"210",228658,180391,7364,535,943,1467,1611,1575,1460,2256,1250,18232,4363,14472,4364,13084,4392,2147,1812,44318,"16000US3260600","reno"
"211",8834249,6111522,1191729,33507,23585,45687,53235,37852,51004,51465,51182,816922,140153,355556,150122,638156,266739,86609,54989,70062,"04000US34","centraljersey"
"212",8834249,6111522,1191729,33507,23585,45687,53235,37852,51004,51465,51182,816922,140153,355556,150122,638156,266739,86609,54989,70062,"04000US34","jerseyshore"
"213",8834249,6111522,1191729,33507,23585,45687,53235,37852,51004,51465,51182,816922,140153,355556,150122,638156,266739,86609,54989,70062,"04000US34","northjersey"
"214",8834249,6111522,1191729,33507,23585,45687,53235,37852,51004,51465,51182,816922,140153,355556,150122,638156,266739,86609,54989,70062,"04000US34","southjersey"
"215",551597,382530,18424,1725,1272,3256,2284,2567,2817,2767,3714,39488,9471,31894,12323,32587,16381,5052,5358,46060,"16000US3502000","albuquerque"
"216",2076325,1501984,42386,9148,8896,16820,14361,13981,18513,19877,12424,180295,37377,113430,43764,94468,45639,12962,15435,43518,"04000US35","clovis"
"217",45798,30172,NA,97,22,148,202,260,229,696,382,4277,915,2388,1312,2011,864,316,110,53778,"16000US3525800","farmington"
"218",99754,88682,NA,529,390,575,514,844,557,857,524,6031,2044,5546,1990,5352,2771,473,803,39319,"16000US3539380","lascruces"
"219",2076325,1501984,42386,9148,8896,16820,14361,13981,18513,19877,12424,180295,37377,113430,43764,94468,45639,12962,15435,43518,"04000US35","roswell"
"220",68677,59217,NA,267,189,738,356,689,297,473,624,4284,875,3436,1354,4867,2701,928,1086,47105,"16000US3570500","santafe"
"221",97843,55704,30715,274,160,267,378,272,854,785,458,6701,1172,4265,2076,5715,2929,863,881,40404,"16000US3601000","albany"
"222",46917,36753,5404,140,31,179,365,200,435,425,262,4705,883,1608,1395,1939,925,293,414,31098,"16000US3606607","binghamton"
"223",260321,130802,97896,1384,559,907,1568,1436,2353,3145,2402,22288,4246,11220,5469,9960,5783,1822,1246,29891,"16000US3611000","buffalo"
"224",19490373,12756269,3033052,100813,53725,128491,137848,105137,137350,143665,144230,1729265,291551,763844,464727,1190942,534211,205644,105409,56657,"04000US36","catskills"
"225",29080,23121,3950,43,23,27,207,304,514,797,259,3550,705,992,753,629,320,120,50,29028,"16000US3624229","elmira"
"226",19490373,12756269,3033052,100813,53725,128491,137848,105137,137350,143665,144230,1729265,291551,763844,464727,1190942,534211,205644,105409,56657,"04000US36","fingerlakes"
"227",19490373,12756269,3033052,100813,53725,128491,137848,105137,137350,143665,144230,1729265,291551,763844,464727,1190942,534211,205644,105409,56657,"04000US36","hudsonvalley"
"228",30160,21421,NA,31,1,47,61,78,0,26,32,500,137,408,247,1466,1093,230,766,27331,"16000US3638077","ithaca"
"229",19490373,12756269,3033052,100813,53725,128491,137848,105137,137350,143665,144230,1729265,291551,763844,464727,1190942,534211,205644,105409,56657,"04000US36","longisland"
"230",19844,18121,NA,20,14,14,208,56,59,86,128,1259,441,931,474,880,459,201,96,32662,"31200US384603658574","plattsburgh"
"231",210548,93932,86078,1169,605,645,1316,1626,2669,3127,1592,18063,3452,7634,4343,9828,4124,1234,583,29942,"16000US3663000","rochester"
"232",144575,81722,42059,1003,252,492,1099,995,1442,1429,1326,10878,1934,4512,3198,5799,2617,909,761,30299,"16000US3673000","syracuse"
"233",19490373,12756269,3033052,100813,53725,128491,137848,105137,137350,143665,144230,1729265,291551,763844,464727,1190942,534211,205644,105409,56657,"04000US36","twintiers"
"234",62006,42612,8417,572,386,179,673,337,642,826,374,5524,1218,2457,1860,2085,474,153,193,30457,"16000US3676540","utica"
"235",27454,23646,NA,114,15,43,180,105,236,227,215,3000,641,1202,566,1154,369,162,78,37229,"16000US3678608","watertown"
"236",956494,636640,136172,3733,3236,9481,5701,4771,3855,4740,5408,66845,10773,33439,15915,69706,37018,21389,8042,79887,"05000US36119","westchester"
"237",84661,70430,10270,365,35,236,411,733,809,684,339,5549,1139,4371,1795,7469,2177,1046,519,42419,"16000US3702140","asheville"
"238",756725,401557,263057,2583,1959,5891,2804,4272,4723,4646,3069,49716,10258,32994,12690,63947,20804,6984,2496,51209,"16000US3712000","charlotte"
"239",9654079,6749492,2073599,42351,25843,54627,76239,83866,98410,90449,44519,865028,180893,453891,219893,526465,178467,57298,45427,45215,"04000US37","easternnc"
"240",201334,94870,81915,643,161,223,623,700,870,898,419,15487,4103,12614,5494,8513,3485,1299,758,44472,"16000US3722920","fayettevillenc"
"241",273641,136204,110791,1314,566,1201,971,1629,1893,1892,1464,19844,3903,13347,4772,18237,6479,1897,1446,40323,"16000US3728000","greensboro"
"242",40126,30406,5225,184,33,263,325,253,256,257,151,3051,550,1629,714,2634,965,618,167,40075,"16000US3731060","hickory"
"243",9654079,6749492,2073599,42351,25843,54627,76239,83866,98410,90449,44519,865028,180893,453891,219893,526465,178467,57298,45427,45215,"04000US37","outerbanks"
"244",414373,252701,123541,821,734,3472,1582,2235,1631,1688,1349,20931,5556,17588,8456,36908,12586,3788,3136,52709,"16000US3755000","raleigh"
"245",108320,81547,21747,358,65,616,394,725,653,801,544,6721,2200,4229,3000,8577,2771,1028,672,41554,"16000US3774440","wilmington"
"246",9654079,6749492,2073599,42351,25843,54627,76239,83866,98410,90449,44519,865028,180893,453891,219893,526465,178467,57298,45427,45215,"04000US37","winstonsalem"
"247",63075,58338,NA,105,0,40,621,54,236,217,119,5467,1481,2592,3071,3995,1546,516,415,54099,"16000US3807200","bismarck"
"248",107752,97036,2542,121,37,18,243,76,293,427,244,6585,1826,6315,3679,8124,2337,1355,1007,45644,"16000US3825700","fargo"
"249",53023,47616,NA,227,109,25,221,85,109,50,133,3854,1000,2564,1533,3101,992,437,478,41444,"16000US3832060","grandforks"
"250",42641,38508,NA,54,0,0,416,25,294,108,60,4208,693,2520,1581,2577,578,248,156,50201,"16000US3853380","minot"
"251",11541175,9558840,1404531,31932,8467,17557,67168,54962,87784,109501,67762,1310105,245786,518052,243347,593388,223165,75551,48321,47030,"04000US39","akroncanton"
"252",23623,20335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17986,"16000US3902736","athensoh"
"253",21596,19335,NA,106,85,44,50,70,78,461,84,2701,387,948,679,1002,282,133,63,37805,"16000US3914184","chillicothe"
"254",296443,148643,130936,938,466,860,1602,1889,3012,3525,1819,23991,4333,12030,4362,15630,7380,3208,1853,32591,"16000US3915000","cincinnati"
"255",393288,157705,207005,2346,900,1131,2700,3628,5458,7931,3798,41940,6534,20633,5799,11774,3565,1468,843,25819,"16000US3916000","cleveland"
"256",799357,496507,221271,2593,954,2081,3166,3810,4978,6714,4216,66145,13246,37668,15078,54817,16733,5481,4013,42491,"16000US3918000","columbus"
"257",141690,75534,59418,788,100,296,1189,931,1836,2415,1306,14042,2785,6902,2825,4277,1358,419,460,27278,"16000US3921000","dayton"
"258",11541175,9558840,1404531,31932,8467,17557,67168,54962,87784,109501,67762,1310105,245786,518052,243347,593388,223165,75551,48321,47030,"04000US39","huntingtonoh"
"259",11541175,9558840,1404531,31932,8467,17557,67168,54962,87784,109501,67762,1310105,245786,518052,243347,593388,223165,75551,48321,47030,"04000US39","limaoh"
"260",47337,34281,9790,112,48,80,313,487,646,1224,521,6740,1343,2640,1168,1395,481,267,142,31717,"16000US3947138","mansfield"
"261",25630,18497,5549,256,14,48,159,89,489,510,265,3388,671,1330,413,519,348,99,88,32882,"16000US3970380","sandusky"
"262",285532,185519,76298,1119,215,635,1845,1893,2260,3972,2190,31197,6531,14468,5248,9317,3069,868,997,32351,"16000US3977000","toledo"
"263",92481,89889,NA,202,31,161,1021,563,607,1034,566,15018,1783,3584,1462,3184,1111,242,107,42636,"05000US39157","tuscarawas"
"264",66005,31446,30102,403,127,230,600,700,663,1193,646,8705,1315,3463,967,1456,521,133,127,23752,"16000US3988000","youngstown"
"265",11541175,9558840,1404531,31932,8467,17557,67168,54962,87784,109501,67762,1310105,245786,518052,243347,593388,223165,75551,48321,47030,"04000US39","zanesville"
"266",98075,59553,19682,210,90,139,422,377,648,1043,370,9696,3040,5659,2060,3907,1365,448,471,43779,"16000US4041850","lawton"
"267",590292,395109,85278,2353,2767,5751,3605,3506,4094,4779,2583,47626,11516,34799,10347,35471,10334,4582,2066,44519,"16000US4055000","oklahomacity"
"268",46143,36437,NA,72,24,119,44,220,13,188,66,1543,319,1897,637,2589,1439,330,942,32567,"16000US4070300","stillwater"
"269",393124,263309,60334,1504,937,2875,1857,2929,2395,3258,2139,30909,7798,19178,8544,22811,7488,4487,1760,40359,"16000US4075000","tulsa"
"270",77887,72126,NA,136,26,33,353,52,357,337,214,4838,1936,5217,2064,7061,2048,1150,341,49576,"16000US4105800","bend"
"271",54633,47223,NA,118,28,245,57,126,30,115,48,1700,577,1915,861,4113,1908,543,1409,37382,"16000US4115800","corvallis"
"272",3868598,3285689,71194,12495,8045,16517,18390,16932,23378,28073,25062,325462,98932,234016,99469,237177,91014,31031,22169,48525,"04000US41","eastoregon"
"273",157196,136209,NA,271,152,214,377,461,769,526,859,8563,3241,10202,3013,10699,4569,1462,1762,40435,"16000US4123850","eugene"
"274",20946,18267,NA,44,0,109,32,89,177,144,124,1929,565,1196,424,1053,365,132,110,29753,"16000US4139700","klamath"
"275",75704,68693,NA,180,107,506,439,285,730,459,482,7529,2147,4278,1625,3828,1059,524,255,41589,"16000US4147000","medford"
"276",3868598,3285689,71194,12495,8045,16517,18390,16932,23378,28073,25062,325462,98932,234016,99469,237177,91014,31031,22169,48525,"04000US41","oregoncoast"
"277",594524,460321,38084,2096,1250,2476,1941,2961,3154,2607,3869,39020,12759,36571,15107,51692,20467,8799,4835,49958,"16000US4159000","portland"
"278",21850,19978,NA,61,63,35,341,48,193,113,75,2093,948,1692,739,1066,352,41,28,42094,"16000US4163650","roseburg"
"279",156155,124216,NA,463,566,1096,785,559,990,1512,1530,12584,3916,8410,3273,8289,3459,1277,619,45215,"16000US4164900","salem"
"280",118587,78789,14823,535,425,615,1148,1049,1653,1948,1086,12265,1620,3677,2152,3412,1272,578,431,34289,"16000US4202000","allentown"
"281",46239,43098,NA,132,0,1,176,181,276,691,156,7567,953,1330,984,1748,425,165,74,35572,"16000US4202184","altoona"
"282",101419,76808,16434,347,119,183,572,386,1046,836,952,12264,2098,3849,1696,4127,951,448,441,31838,"16000US4224000","erie"
"283",49381,16734,25305,278,192,300,198,334,680,901,260,4295,606,1840,817,1819,639,421,148,33080,"16000US4232800","harrisburg"
"284",1538211,635684,664674,8480,3884,6673,10409,11019,16717,19834,13701,162177,20623,54604,19237,61624,25100,12362,6847,35581,"16000US4260000","philadelphia"
"285",306006,203201,76836,1070,199,318,915,825,1987,2338,1358,28450,4805,11372,6467,18304,9033,4240,4223,37280,"16000US4261000","pittsburgh"
"286",12739595,10475946,1383979,39559,12856,24586,77865,61719,100331,102795,66780,1551971,217925,463088,282010,707420,280870,100893,66103,51402,"04000US42","poconos"
"287",75951,65584,4629,398,153,271,333,380,1004,694,322,8856,1217,2824,1453,3548,861,539,105,36149,"16000US4269000","scranton"
"288",42026,34262,NA,41,16,0,39,0,18,6,41,678,183,511,289,1299,1395,105,808,23092,"16000US4273808","pennstate"
"289",29438,23567,4322,103,9,59,65,85,350,245,178,3084,549,888,1045,926,195,212,27,31452,"16000US4285312","williamsport"
"290",43651,22372,12042,114,56,351,463,476,902,551,336,5959,403,944,568,886,285,58,53,29469,"16000US4287048","york"
"291",123226,87467,31454,185,159,38,349,246,641,689,353,6693,1905,5185,2687,11660,3373,2125,1341,50602,"16000US4513330","charleston"
"292",130596,66340,55749,268,87,316,857,864,1172,1350,754,8426,1943,4816,2116,8189,3475,1865,890,40501,"16000US4516000","columbia"
"293",37328,19265,17245,61,87,79,152,208,366,328,106,2929,649,1829,977,1611,972,411,249,41660,"16000US4525810","florence"
"294",59955,38340,18408,208,182,312,308,480,836,427,403,4136,714,2567,974,4609,1607,1083,395,39308,"16000US4530850","greenville"
"295",4677636,3136198,1298533,20077,12114,21123,35092,37467,48409,47338,29682,456525,82377,213199,110908,235433,83349,27763,17295,43490,"04000US45","hiltonhead"
"296",27708,21378,2831,202,229,201,176,129,232,313,144,2839,418,1472,508,2122,592,239,179,33537,"16000US4549075","myrtlebeach"
"297",26443,24230,NA,0,0,0,285,72,62,100,88,2940,437,1212,576,1469,202,210,88,47910,"16000US4600100","aberdeen-sd"
"298",68912,55687,NA,164,58,228,361,217,490,436,410,5978,1372,4398,1603,3964,1428,552,193,44382,"16000US4652980","rapidcity"
"299",156997,135607,7082,471,0,714,1071,586,846,846,813,15543,2418,7058,4375,10544,3440,1040,945,50295,"16000US4659020","siouxfalls"
"300",169718,100470,58306,1345,428,729,839,1114,1573,1873,1027,15620,3533,9094,2849,8964,2905,1208,759,37140,"16000US4714000","chattanooga"
"301",137588,91630,31713,284,168,589,378,288,624,470,391,11783,3685,7822,2878,5861,2229,330,351,44760,"16000US4715160","clarksville"
"302",30755,28335,NA,52,0,24,125,150,322,172,169,2961,285,1363,313,1679,303,199,299,28212,"16000US4716920","cookeville"
"303",180714,139636,32033,646,497,614,1012,622,1481,1196,730,15307,3694,6760,6197,11283,3416,2183,1165,32632,"16000US4740000","knoxville"
"304",651363,194560,410850,3006,1305,3361,4505,3241,6982,8313,4892,62210,8571,31055,8417,28264,8379,4355,2248,36062,"16000US4748000","memphis"
"305",6404240,5004585,1071708,25609,14495,25717,67032,42317,61603,66637,38190,698145,118195,296210,108182,310515,105096,39982,30507,42959,"04000US47","nashville"
"306",6404240,5004585,1071708,25609,14495,25717,67032,42317,61603,66637,38190,698145,118195,296210,108182,310515,105096,39982,30507,42959,"04000US47","tricities"
"307",120027,96400,12311,620,340,362,1225,1263,1168,1722,412,10720,3060,6241,2475,5258,1571,701,572,41460,"16000US4801000","abilene"
"308",193429,160259,13181,965,580,1634,1673,1613,1363,1504,1013,15291,5212,10522,4232,8753,2726,1100,636,45350,"16000US4803000","amarillo"
"309",818236,595250,64949,3655,4377,8254,4049,6112,3286,3808,3992,42848,11318,41206,13978,72905,28608,8391,7927,51668,"16000US4805000","austin"
"310",118440,51732,55055,626,278,861,916,619,936,1354,469,10993,2315,6351,1949,5461,1588,792,256,37343,"16000US4807000","beaumont"
"311",178045,162342,NA,1622,1646,3281,2343,2368,1891,1392,1227,9937,1773,6795,2702,5364,1143,677,507,31246,"16000US4810768","brownsville"
"312",95960,75892,5986,102,139,145,228,82,136,145,142,2200,576,2862,836,5081,3296,501,2456,30980,"16000US4815976","collegestation"
"313",308497,263149,13964,1735,998,2309,2142,2614,2884,3373,1589,24896,6627,18715,6470,12516,4916,1559,1259,46470,"16000US4817000","corpuschristi"
"314",1219879,689407,298222,10625,10653,24890,12328,19131,9835,12501,7370,85943,13084,49173,16157,69382,26005,13187,4841,41745,"16000US4819000","dallas"
"315",35612,32500,NA,363,413,769,575,336,329,399,50,2939,762,1245,634,1389,244,64,0,40307,"16000US4819792","delrio"
"316",117997,91063,12910,209,243,975,594,707,400,486,322,5356,2225,6638,2268,7431,2585,502,1001,47695,"16000US4819972","denton"
"317",662707,541806,22684,4944,3403,8383,3557,5122,3681,3999,3505,46113,10557,34738,13379,27530,10410,3577,1860,40920,"16000US4824000","elpaso"
"318",761862,507066,143749,4187,3299,11617,4842,7953,5229,6761,3321,53664,12819,37178,12370,38300,13060,4098,2252,50129,"16000US4827000","fortworth"
"319",47689,34757,9130,246,166,329,524,502,571,543,219,4451,798,2199,833,2002,622,657,683,36232,"16000US4828068","galveston"
"320",2130116,1225210,496020,16732,20262,43570,18855,27465,16290,19046,14125,148085,24602,96674,28394,119948,46799,18538,12913,43792,"16000US4835000","houston"
"321",39308,26050,11445,147,378,345,576,783,643,633,136,5240,1600,3083,536,1349,494,41,215,27134,"16000US4835528","huntsvilletx"
"322",131639,66203,43808,435,104,296,445,230,357,559,310,9674,4406,8266,4019,4065,1325,169,197,45360,"16000US4839148","killeen"
"323",240773,225224,NA,2195,2181,4984,2788,3668,1780,1719,1433,14169,2693,9695,3074,7420,2256,781,403,36957,"16000US4841464","laredo"
"324",233475,180475,18786,796,667,830,1509,1071,1689,2027,1092,15706,4099,11944,3355,12515,4015,1655,1686,42139,"16000US4845000","lubbock"
"325",132720,116290,NA,1105,1002,2087,1179,990,578,692,829,8030,1459,7136,2214,7676,1953,1142,315,41375,"16000US4845384","mcallen"
"326",25644550,19116593,3030320,145761,133825,283523,193669,239088,183576,211914,136959,1989148,454406,1282738,476953,1362653,485164,146117,103943,50776,"04000US48","arlington"
"327",103063,86790,5813,764,940,1066,901,992,1098,1183,734,8784,1957,5249,1528,3300,746,400,182,50731,"16000US4853388","odessa"
"328",1358143,1020761,90907,9804,5733,14123,9774,11331,10662,10398,8093,99742,24478,69498,28102,62411,23042,9180,5095,45074,"16000US4865000","sanantonio"
"329",47577,36928,NA,136,96,117,72,217,219,409,167,2612,487,2180,373,2239,513,87,175,27055,"16000US4865600","sanmarcos"
"330",36856,20785,13852,237,22,99,155,125,144,265,103,3502,782,1759,839,1649,1059,549,37,37679,"16000US4872368","texarkana"
"331",25644550,19116593,3030320,145761,133825,283523,193669,239088,183576,211914,136959,1989148,454406,1282738,476953,1362653,485164,146117,103943,50776,"04000US48","texoma"
"332",98296,68729,22729,711,471,962,447,560,695,540,622,5790,1513,4688,2311,5321,1955,975,548,41348,"16000US4874144","tyler"
"333",63342,50346,4685,353,212,332,646,686,753,525,174,5697,1723,3433,1583,1695,702,164,39,44978,"16000US4875428","victoriatx"
"334",126250,88998,26794,665,559,1264,834,1312,810,1216,864,9161,1930,4938,2188,5185,1573,476,654,32353,"16000US4876000","waco"
"335",104348,82143,13323,151,161,634,962,811,968,1280,292,11087,1942,5670,2123,4019,1432,431,336,42305,"16000US4879000","wichitafalls"
"336",48733,42620,NA,90,48,300,223,187,153,300,87,1730,719,2227,804,2833,858,285,498,33437,"16000US4945860","logan"
"337",83375,62578,NA,625,495,903,231,672,602,749,669,7225,1877,4451,1640,2936,1059,530,312,40878,"16000US4955980","ogden"
"338",114467,100003,NA,247,79,417,101,342,262,411,595,3477,1335,5612,1840,6259,2071,539,1014,38338,"16000US4962470","provo"
"339",187964,142669,5744,675,914,1377,735,1441,1074,1661,1512,10641,3780,9015,3797,13684,5020,3293,2148,42267,"16000US4967000","saltlakecity"
"340",74225,67927,NA,80,84,551,243,83,256,315,585,4957,1857,4388,2147,3397,1773,590,334,44793,"16000US4965330","stgeorge"
"341",43644,30582,8921,148,91,83,325,219,222,232,161,2684,463,1195,467,2596,1629,748,834,44183,"16000US5114968","charlottesville"
"342",225844,141306,67687,426,114,370,1313,1281,1253,1731,902,20137,5271,12445,5108,12534,5534,1061,439,68750,"16000US5116000","chesapeake"
"343",42888,20297,20716,292,36,271,510,273,562,639,197,3766,1127,1575,1143,1425,563,284,161,31134,"16000US5121344","danville"
"344",25869,16958,5801,57,46,0,73,121,105,140,56,1955,495,1028,391,1249,895,155,171,46397,"16000US5129744","fredericksburg"
"345",136855,58905,69124,427,252,234,847,284,939,1019,608,11466,2939,9659,3198,5819,2630,526,390,51654,"16000US5135000","hampton"
"346",49878,42335,NA,154,46,275,494,276,427,381,191,2869,401,1377,412,2009,859,294,408,37212,"16000US5135624","harrisonburg"
"347",76377,49507,21634,122,85,328,743,468,503,572,356,5378,1322,2511,1088,3758,1748,622,411,37020,"16000US5147672","lynchburg"
"348",8105120,5620645,1573482,30168,15714,34421,65599,45169,63038,62317,37826,673451,143268,360186,154918,515794,280442,76910,52574,62811,"04000US51","blacksburg"
"349",180623,91343,72107,703,94,382,643,566,1070,1984,779,15192,3774,10406,4760,7747,3318,762,577,49690,"16000US5156000","newportnews"
"350",244118,116491,105035,765,283,424,1162,1420,2109,2538,1209,20867,4862,14519,4639,10503,4578,1490,943,43708,"16000US5157000","norfolk"
"351",95915,39541,51120,490,273,427,676,620,1175,1279,401,9485,1738,5141,2165,3424,1089,418,118,44945,"16000US5164000","portsmouth"
"352",206936,89706,102440,1512,876,1318,2092,1060,1939,2136,1223,14734,2507,9015,2717,13411,4862,2402,918,40001,"16000US5167000","richmond"
"353",96958,63293,26841,459,107,684,1076,1132,998,1083,812,10001,1696,4093,2287,4665,1551,703,270,38593,"16000US5168000","roanoke"
"354",8105120,5620645,1573482,30168,15714,34421,65599,45169,63038,62317,37826,673451,143268,360186,154918,515794,280442,76910,52574,62811,"04000US51","swva"
"355",84942,44508,35572,245,72,181,437,626,629,692,394,8519,1759,4359,2228,3619,1850,484,134,67546,"16000US5176432","suffolk"
"356",443102,303134,84875,1147,42,417,666,917,2188,2435,1371,32989,11635,27894,12679,27928,11142,3690,1591,65169,"16000US5182000","virginiabeach"
"357",81647,70718,NA,304,143,105,244,149,353,47,488,4541,1897,3632,2732,5950,2265,624,635,41594,"16000US5305280","bellingham"
"358",103818,78870,4569,362,128,200,770,397,876,755,1188,9748,3396,5788,3524,4871,1599,335,295,45553,"16000US5322640","everett"
"359",20869,16431,NA,298,67,133,136,95,38,148,127,1462,497,1254,647,424,490,112,131,43065,"16000US5347245","moseslake"
"360",6821303,5350392,243811,23816,14943,25667,30268,24417,33614,43102,40317,539604,167952,379027,202139,457320,175936,53047,38787,57966,"04000US53","mtvernon"
"361",47250,40308,NA,106,19,0,303,68,89,170,274,3111,1145,2703,1052,3752,1582,501,413,50934,"16000US5351300","olympia"
"362",30388,24071,NA,0,0,0,0,1,27,0,43,556,48,742,253,1888,897,160,906,23285,"16000US5356625","pullman"
"363",622273,434663,48531,2204,890,2137,1843,1539,1897,2350,3809,27307,10331,29723,15491,75609,30475,11317,8711,62617,"16000US5363000","seattle"
"364",6821303,5350392,243811,23816,14943,25667,30268,24417,33614,43102,40317,539604,167952,379027,202139,457320,175936,53047,38787,57966,"04000US53","spokane"
"365",200090,133057,22383,774,324,756,831,810,1181,1751,1074,20105,4283,11037,5342,9129,3577,1210,763,49556,"16000US5370000","tacoma"
"366",6821303,5350392,243811,23816,14943,25667,30268,24417,33614,43102,40317,539604,167952,379027,202139,457320,175936,53047,38787,57966,"04000US53","tricitieswa"
"367",32381,28401,NA,247,79,352,457,95,218,149,319,2806,688,1375,998,1458,397,366,126,47558,"16000US5377105","wenatchee"
"368",92506,65557,NA,1148,1080,1323,1091,759,975,1312,876,7174,2106,3405,1972,3112,1026,639,209,40104,"16000US5380010","yakima"
"369",51153,42067,3857,154,42,126,330,274,388,375,146,4842,723,1947,718,3602,1332,1881,358,47864,"16000US5414600","charlestonwv"
"370",49309,43221,3893,128,47,85,247,507,698,531,185,4642,1132,2495,631,2428,932,514,283,28201,"16000US5439460","huntington"
"371",30480,26389,NA,91,0,18,45,34,52,186,138,1920,324,1479,307,1598,866,391,521,31883,"16000US5455756","morgantown"
"372",31343,29740,NA,70,0,31,275,202,289,325,89,4144,772,1614,716,1023,334,45,100,31989,"16000US5462140","parkersburg"
"373",8105120,5620645,1573482,30168,15714,34421,65599,45169,63038,62317,37826,673451,143268,360186,154918,515794,280442,76910,52574,62811,"04000US51","southernwestvirginia"
"374",28333,25855,NA,59,2,1,165,120,140,177,76,3257,612,1348,613,1682,637,166,150,34433,"16000US5486452","wheeling"
"375",72689,64530,NA,317,80,156,257,121,178,346,528,6693,1400,3178,2710,4258,1776,621,337,51674,"16000US5502375","appleton"
"376",66087,60916,NA,196,0,14,74,100,78,254,191,4571,1475,3061,2473,3716,1376,479,405,42508,"16000US5522300","eauclaire"
"377",104494,87451,3845,586,234,314,555,435,282,760,854,11141,2028,5031,3148,4997,1360,363,222,41404,"16000US5531000","greenbay"
"378",63551,58572,1433,128,39,234,229,118,321,568,608,7404,1538,3234,1711,2697,1074,313,112,47040,"16000US5537825","janesville"
"379",51478,46109,NA,95,0,41,208,148,193,267,141,4115,563,2371,1808,2350,798,401,424,38440,"16000US5540775","lacrosse"
"380",237136,189431,17978,529,186,327,433,220,460,922,557,11950,2949,9007,5339,20679,9955,3298,4597,52599,"16000US5548000","madison"
"381",597247,278320,235249,3148,2074,3501,3859,3846,4748,7369,3575,54755,8911,25465,10305,22971,8479,2073,1583,34439,"16000US5553000","milwaukee"
"382",78552,52610,16056,299,234,304,536,619,735,777,742,8111,1740,4072,1540,1892,1053,138,151,37397,"16000US5566000","racine"
