"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"44",815234,410383,48401,6396,3467,7433,4859,4130,3900,2740,6818,43235,10277,42271,16538,104018,41978,16672,8096,72888,"16000US0667000","sf"
"45",37686586,23539312,2255750,268463,214658,487744,231887,266770,202112,289885,332143,2524456,647878,1953231,839606,2272529,864544,317925,221774,59368,"04000US06","sangabrielvalley"
"46",969324,451915,30414,6884,3693,10958,5789,6360,5675,6337,7881,58260,13536,46354,22982,73727,36237,5540,8174,80155,"16000US0668000","sanjose"
"47",45527,37622,NA,87,55,136,126,54,70,111,233,1439,578,1764,1092,3648,1238,345,696,45756,"16000US0668154","sanluisobispo"
"48",98499,63674,NA,427,483,1018,713,582,197,416,623,5817,1872,5348,2584,8355,3527,1519,839,82551,"16000US0668252","sanmateo"
"49",88996,66365,NA,632,530,1357,683,1238,238,369,309,4120,947,4827,2086,6792,2904,1235,1298,64098,"16000US0669070","santabarbara"
"50",61372,48957,NA,112,44,278,69,76,704,130,143,2739,594,3342,1041,4240,2250,592,751,62631,"16000US0669112","santacruz"
"51",100529,76015,NA,1601,1561,3950,1287,1702,702,908,616,5358,1418,4091,1553,2783,804,272,148,50084,"16000US0669196","santamaria"
"52",44599,38779,NA,66,97,119,264,178,353,327,296,4179,1296,3532,1204,2667,774,254,140,36016,"05000US06093","siskiyou"
"53",295354,133879,33975,3645,1522,4333,1977,1859,1806,2601,3084,20696,5210,13708,6984,9480,2745,1187,831,45360,"16000US0675000","stockton"
"54",830828,634203,15494,4683,5852,12056,3018,5341,4362,5565,5980,48856,15682,45610,20264,52404,20600,7471,3950,74458,"05000US06111","ventura"
"55",125986,102332,2758,1350,741,987,710,605,703,1306,909,8473,2517,7374,3259,5132,1525,1088,396,52272,"16000US0682954","visalia"
"56",100403,88748,NA,151,44,442,46,116,163,147,101,1952,959,3229,1039,9611,5750,1585,3139,56205,"16000US0807850","boulder"
"57",425725,343105,27097,791,362,968,1286,835,1680,2158,1740,26566,9149,24441,12715,29172,16035,3484,2182,52896,"16000US0816000","coloradosprings"
"58",619016,447079,61950,2848,2039,6501,3583,4537,3933,4903,3536,40537,10065,30234,9587,55748,21617,8655,3854,49049,"16000US0820000","denver"
"59",146235,131007,NA,249,119,239,267,190,311,330,242,5941,2370,6431,3041,13321,5685,1155,1834,51830,"16000US0827425","fortcollins"
"60",107364,80879,2444,318,553,339,1115,575,1115,1197,755,9827,3109,5948,2903,4074,1544,438,335,34083,"16000US0862000","pueblo"
"61",5117453,4296497,206254,13943,11559,25468,22806,22060,23685,30721,25654,381928,99345,275712,123233,390323,156430,42945,31979,56837,"04000US08","rockies"
"62",5117453,4296497,206254,13943,11559,25468,22806,22060,23685,30721,25654,381928,99345,275712,123233,390323,156430,42945,31979,56837,"04000US08","westslope"
"63",3584561,2797813,362387,11484,8238,13052,20176,15663,21171,21463,20134,333606,60254,140802,67713,241148,121978,41542,24148,67544,"04000US09","newlondon"
"64",124894,46222,47157,1152,820,1637,1497,1291,1184,2089,910,10566,1291,4270,1469,3107,1403,676,277,28415,"16000US0937000","hartford"
"65",130378,59149,45471,690,651,1210,757,1099,1001,1234,913,11285,971,4010,1448,5750,3014,1253,2175,36413,"16000US0952000","newhaven"
"66",3584561,2797813,362387,11484,8238,13052,20176,15663,21171,21463,20134,333606,60254,140802,67713,241148,121978,41542,24148,67544,"04000US09","nwct"
"67",618777,247079,311415,3090,1749,2436,3391,3530,3580,4914,3206,37139,5853,20007,5871,47186,31761,18817,8429,64610,"04000US11","nova"
"68",618777,247079,311415,3090,1749,2436,3391,3530,3580,4914,3206,37139,5853,20007,5871,47186,31761,18817,8429,64610,"04000US11","southernmaryland"
"69",618777,247079,311415,3090,1749,2436,3391,3530,3580,4914,3206,37139,5853,20007,5871,47186,31761,18817,8429,64610,"04000US11","dc"
"70",19081930,14568707,3050618,85845,55567,110017,121607,122422,155499,160813,151644,1894340,382561,906784,505584,1080744,392209,163721,87027,45637,"04000US12","daytona"
"71",64070,36990,20727,388,226,614,610,437,814,1056,926,6734,1090,2620,1344,3217,1148,351,463,35128,"16000US1224125","fortmyers"
"72",19081930,14568707,3050618,85845,55567,110017,121607,122422,155499,160813,151644,1894340,382561,906784,505584,1080744,392209,163721,87027,45637,"04000US12","ftlauderdale"
"73",125273,82446,28561,444,62,126,265,336,659,700,445,6558,1417,3418,3047,5990,3357,1254,2715,31294,"16000US1225175","gainesville"
"74",829535,501985,253136,3231,1244,1658,3875,4666,8306,7008,4517,77458,18282,40851,22919,44742,12071,5038,2681,45577,"16000US1235000","jacksonville"
"75",19081930,14568707,3050618,85845,55567,110017,121607,122422,155499,160813,151644,1894340,382561,906784,505584,1080744,392209,163721,87027,45637,"04000US12","keys"
"76",98968,72319,20523,480,382,323,735,499,919,739,476,10137,1476,4571,1865,5236,1756,450,464,37833,"16000US1238250","lakeland"
"77",408322,305357,79841,2902,5628,12355,5306,4031,3434,3716,5500,44269,3609,11803,9436,18964,7210,4855,1652,28935,"16000US1245000","miami"
"78",56616,38801,12566,130,108,155,264,237,472,582,692,5248,1246,2350,1377,2919,615,577,287,35310,"16000US1250750","ocala"
