"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"6377","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"6378","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"6379","Oceanside, CA, USA","Oceanside","CA",166139,63394,108219,7475,576,708,2178,1102,1123,1026,1084,956,11724,3844,10126,5002,8710,3068,811,710
"6380","Walnut Creek, CA, USA","Walnut Creek","CA",64168,84722,51766,1507,140,18,197,72,29,104,52,158,1847,953,2924,1343,8067,3848,1583,1009
"5102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5103","Capitola, CA, USA","Capitola","CA",9864,50696,8477,110,26,43,18,0,79,69,103,24,677,170,638,280,787,280,102,16
"5104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5105","San Francisco Bay, California, USA","San Francisco Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6386","Lower Sacramento Road, CA, USA","Lower Sacramento Road","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5108","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"6390","San Francisco Bay Area, CA, USA","San Francisco Bay Area","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6391","Turlock, CA, USA","Turlock","CA",67953,50862,53095,1373,748,341,900,330,372,525,637,750,5351,1181,2890,1415,3126,864,347,303
"6392","Korea Town, New York, NY, USA","Korea Town","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6393","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"6394","Oakland, CA, USA","Oakland","CA",389397,51144,151984,109252,3608,2513,6326,3018,3487,2470,2643,3167,24599,4476,19458,6435,26261,11483,4061,3344
"6395","Los Angeles, CA, USA","Los Angeles","CA",124222,37271,71230,476,1886,2594,5332,1893,2379,1265,1591,2117,8828,1217,3129,1187,1341,232,84,11
"6396","Castro Valley Boulevard, CA, USA","Castro Valley Boulevard","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6397","Hollister, CA, USA","Hollister","CA",34733,62570,24719,540,343,600,743,305,264,138,279,346,2375,591,1695,675,1254,116,54,20
"6398","San Francisco Bay Area, CA, USA","San Francisco Bay Area","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6399","San Jose, CA, USA","San Jose","CA",939688,80764,447759,28485,6156,3837,11227,5520,5615,6028,5627,7425,57625,13298,43884,23334,67999,34718,5678,7535
"6400","San Pablo Avenue, CA, USA","San Pablo Avenue","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5121","Hayward, CA, USA","Hayward","CA",142936,62115,52674,16291,1222,593,2238,1437,968,728,1108,1362,13386,2375,6847,3044,7281,2016,334,238
"6403","Stockton, CA, USA","Stockton","CA",289926,47365,132139,34665,3599,1813,4281,2328,1864,2231,3192,2527,20255,5523,13033,6459,8882,2260,1268,745
"6404","Fairfield, CA, USA","Fairfield","CA",104404,68037,49176,17332,494,314,852,368,464,622,687,826,7360,2161,5958,3064,4677,1122,400,326
"6405","Pleasant Hill, CA, USA","Pleasant Hill","CA",33045,78765,24902,653,118,48,56,175,9,60,99,124,1658,799,2113,905,3617,1285,361,241
"6406","Rio Linda, CA, USA","Rio Linda","CA",14366,57891,10930,526,61,3,90,62,72,97,171,208,1687,404,873,276,357,70,55,0
"5126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5127","San Francisco Peninsula, California, USA","San Francisco Peninsula","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5129","Castro Valley Boulevard, CA, USA","Castro Valley Boulevard","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6411","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"5131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5132","Irvine, CA, USA","Irvine","CA",205057,92599,110171,3750,214,21,180,191,101,167,246,460,5094,1701,6749,3766,23246,12226,4403,3712
"6414","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"6415","Tempe, AZ, USA","Tempe","AZ",163928,48618,128113,7989,343,376,936,548,777,498,644,608,6833,3290,8946,3500,12282,5854,1103,1626
"6416","Santa Rosa, CA, USA","Santa Rosa","CA",164976,60850,128974,3809,1025,636,2111,916,845,991,1420,1392,11200,2849,9844,3806,9888,3478,1623,727
"6417","San Francisco Bay, California, USA","San Francisco Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6418","Vallejo, CA, USA","Vallejo","CA",116021,62325,42057,24338,528,218,1128,454,481,534,820,996,9396,3058,6360,3499,6094,1340,544,367
"5138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5139","Santa Cruz, CA, USA","Santa Cruz","CA",59022,63110,48278,1402,122,144,285,97,256,464,169,232,2330,809,2780,980,4738,2123,607,928
"5140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5141","Hayward, CA, USA","Hayward","CA",142936,62115,52674,16291,1222,593,2238,1437,968,728,1108,1362,13386,2375,6847,3044,7281,2016,334,238
"6423","Shattuck Avenue, CA, USA","Shattuck Avenue","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6424","Central Valley, California, USA","Central Valley","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5145","Benicia, CA, USA","Benicia","CA",26981,90338,20387,842,102,0,45,74,8,33,193,118,1461,563,1652,799,2285,943,260,173
