"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"1","Alabama, USA","Alabama","Alabama",4747424,42934,3307557,1244112,18195,12195,23593,46193,42564,54700,55079,30709,471910,82352,227286,89907,210681,74184,27399,17689
"2","Auburn, AL, USA","Auburn","AL",52232,37460,39241,9324,28,56,74,110,44,135,116,20,1610,222,915,517,3555,1562,517,1394
"3","Birmingham, AL, USA","Birmingham","AL",214348,31898,49662,158251,853,444,909,1420,1670,2241,3070,1825,20177,3049,11446,3857,7990,2888,1632,692
"4","Dothan, AL, USA","Dothan","AL",64904,42836,41592,20479,265,110,292,349,504,611,493,379,6087,1364,2979,1522,3146,1005,562,291
"5","Gadsden, AL, USA","Gadsden","AL",37014,28419,22118,13267,85,102,206,517,328,452,586,299,3848,606,2019,505,991,481,270,55
"6","Huntsville, AL, USA","Huntsville","AL",177879,48043,112019,53975,478,406,507,836,731,1167,1217,959,11330,2262,9452,3276,14021,6029,1682,1593
"7","Mobile, AL, USA","Mobile","AL",195457,38240,90105,98089,874,316,396,906,1021,1717,2188,1420,17563,2718,9738,3933,9292,2304,1778,1046
"8","Montgomery, AL, USA","Montgomery","AL",205548,43674,80786,115581,708,450,746,969,1495,2085,1764,1091,15954,2739,9362,2824,10826,5092,1688,1027
"9","Muscle Shoals, AL, USA","Muscle Shoals","AL",13068,51114,10545,2083,4,0,65,156,107,71,88,57,1528,389,529,274,687,149,81,93
"10","Tuscaloosa, AL, USA","Tuscaloosa","AL",89035,34359,46927,38947,126,228,192,541,405,902,738,249,5936,1198,3672,918,3715,1537,739,527
"11","Alaska, USA","Alaska","Alaska",700703,69014,472504,23426,1223,1093,1636,2989,2267,3466,4233,2939,67463,16722,47688,17003,35924,13711,4573,3318
"12","Arizona, USA","Arizona","Arizona",6337373,50752,4987541,252127,22193,19848,46052,45912,37742,44431,48898,40587,486529,140284,363029,149974,346128,133912,41529,29155
"13","Sedona, AZ, USA","Sedona","AZ",10216,52204,9862,99,0,0,21,50,0,87,10,40,478,192,846,134,1032,394,285,169
"14","Mohave, AZ, USA","Mohave","AZ",15072,44431,13647,153,0,35,45,233,115,143,261,110,1816,389,1162,502,418,114,35,16
"15","Phoenix, AZ, USA","Phoenix","AZ",1455565,48596,1130614,92416,6633,7056,19072,13656,11692,11223,11163,11829,106494,26413,72905,29125,74474,25357,9621,4324
"16","Prescott, AZ, USA","Prescott","AZ",40055,43867,36888,173,28,11,34,239,156,280,199,248,2974,1032,2896,1050,3192,1507,538,427
"17","Show Low, AZ, USA","Show Low","AZ",10493,36941,9339,279,32,0,24,58,123,154,36,38,1007,369,758,337,320,151,23,58
"18","Sierra Vista, AZ, USA","Sierra Vista","AZ",43970,56671,32697,3058,51,61,47,193,109,89,232,159,2504,894,2760,1738,2582,1494,171,224
"19","Tucson, AZ, USA","Tucson","AZ",5640,86075,4689,328,0,39,0,27,0,0,26,37,224,179,497,204,328,146,76,0
"20","Yuma, AZ, USA","Yuma","AZ",92367,44113,64143,3000,487,374,920,978,928,543,907,601,6566,2937,4502,2087,2639,1314,290,120
"21","Arkansas, USA","Arkansas","Arkansas",2895928,40149,2271277,449283,10686,8051,15312,30822,22841,28901,32085,18136,330084,56484,137363,43371,119495,36535,15356,9347
"22","Fayetteville, AR, USA","Fayetteville","AR",72914,35970,61349,4708,76,16,80,197,391,248,369,479,3673,1018,3703,747,5452,2085,842,775
"23","Fort Smith, AR, USA","Fort Smith","AR",85838,37340,67686,7204,377,407,980,730,1012,646,663,507,7918,1534,4278,1672,3653,1157,786,264
"24","Jonesboro, AR, USA","Jonesboro","AR",66096,38415,51630,12043,224,22,327,413,416,380,550,383,5649,979,2863,746,3532,938,569,485
"25","Little Rock, AR, USA","Little Rock","AR",192185,44392,98203,81129,361,658,724,989,575,1218,1426,995,13193,2871,9609,2611,13921,4679,3346,1450
"26","Bakersfield, CA, USA","Bakersfield","CA",339761,54656,213665,27914,1987,1984,3637,2066,2214,2258,3450,3655,24585,6586,16297,6975,11709,4088,1927,859
"27","Chico, CA, USA","Chico","CA",85605,41632,70227,1642,319,114,143,328,155,301,458,446,3929,2000,4394,2027,5306,1498,572,509
"28","Fresno, CA, USA","Fresno","CA",489922,43440,264601,36614,5248,3651,7508,4056,3400,3572,4714,4073,31355,7881,23548,9431,18205,4717,2650,1409
"29","Humboldt County, CA, USA","Humboldt County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Imperial County, CA, USA","Imperial County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Ranch Cucamonga, CA, USA","Ranch Cucamonga","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Long Beach, CA, USA","Long Beach","CA",462197,52945,229779,62231,3459,2440,5966,2775,3355,2655,3443,4052,29227,7163,25364,9755,26689,8674,3007,2047
"33","Los Angeles, CA, USA","Los Angeles","CA",124222,37271,71230,476,1886,2594,5332,1893,2379,1265,1591,2117,8828,1217,3129,1187,1341,232,84,11
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Merced, CA, USA","Merced","CA",78111,37025,43792,5273,1049,518,1148,584,540,419,695,860,4451,1279,3680,1731,2062,752,299,127
"36","Modesto, CA, USA","Modesto","CA",201886,49852,150589,7928,1386,1039,1942,1742,1351,1094,2510,1978,15950,4254,10321,3647,6914,2785,1257,300
"37","Monterey, CA, USA","Monterey","CA",27861,62720,21277,715,85,19,34,113,71,97,109,281,1079,503,1545,722,2646,1557,221,415
"38","Sebastopol, CA, USA","Sebastopol","CA",7359,60000,6533,54,15,2,37,0,4,48,34,46,436,189,497,214,525,135,160,43
"39","Orange County, CA, USA","Orange County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oakland, CA, USA","Oakland","CA",389397,51144,151984,109252,3608,2513,6326,3018,3487,2470,2643,3167,24599,4476,19458,6435,26261,11483,4061,3344
"41","Palm Springs, CA, USA","Palm Springs","CA",45045,45989,36950,2042,167,198,588,147,268,122,463,320,4044,1490,3741,1412,4670,1945,941,530
"42","Palmdale, CA, USA","Palmdale","CA",149001,55213,63505,21403,792,869,2272,893,826,1063,1931,1481,10107,2773,7072,2531,4093,1437,280,140
"43","Redding, CA, USA","Redding","CA",89674,43157,78520,1002,236,86,172,209,266,731,591,497,6948,2410,5508,2905,4186,1465,856,294
"44","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"45","San Diego, CA, USA","San Diego","CA",21495,89604,17704,1103,30,24,69,16,93,69,79,89,1133,413,1580,766,1685,834,273,214
"46","San Fernando Valley, CA, USA","San Fernando Valley","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"48","Avocado Heights, CA, USA","Avocado Heights","CA",15378,73030,5909,245,53,150,342,79,107,143,154,173,1211,214,695,409,587,267,56,0
"49","San Jose, CA, USA","San Jose","CA",939688,80764,447759,28485,6156,3837,11227,5520,5615,6028,5627,7425,57625,13298,43884,23334,67999,34718,5678,7535
"50","San Luis Obispo, CA, USA","San Luis Obispo","CA",45130,42528,37528,704,98,43,164,130,108,142,213,246,1703,571,1475,1051,2763,1162,355,675
"51","San Mateo, CA, USA","San Mateo","CA",95957,86772,62657,2254,320,661,782,652,574,271,381,649,5498,1942,5207,2329,8222,3599,1397,869
"52","Santa Barbara, CA, USA","Santa Barbara","CA",88192,63401,65991,1688,461,674,1471,481,607,411,416,313,4506,1225,4827,1849,7255,2690,1220,1603
"53","Santa Cruz, CA, USA","Santa Cruz","CA",59022,63110,48278,1402,122,144,285,97,256,464,169,232,2330,809,2780,980,4738,2123,607,928
"54","Santa Maria, CA, USA","Santa Maria","CA",96803,51664,76103,1266,1134,1313,3501,982,1549,785,693,510,4988,1664,3894,1556,2534,714,323,119
"55","Siskiyou County, CA, USA","Siskiyou County","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Stockton, CA, USA","Stockton","CA",289926,47365,132139,34665,3599,1813,4281,2328,1864,2231,3192,2527,20255,5523,13033,6459,8882,2260,1268,745
"57","Susanville, CA, USA","Susanville","CA",17728,49160,11522,1893,108,83,84,225,288,365,1078,206,2486,858,1143,722,411,105,68,63
"58","Ventura, CA, USA","Ventura","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Visalia, CA, USA","Visalia","CA",121882,54019,98211,2755,1164,808,1048,535,608,851,1143,928,8309,2574,6723,3091,4554,1439,843,298
"60","Colorado, USA","Colorado","Colorado",4966061,57685,4167044,195640,12500,11639,24952,24095,22308,24685,29897,24865,373269,94790,258878,116779,374121,148775,42409,29250
"61","Boulder, CO, USA","Boulder","CO",97565,54051,86728,849,56,55,415,221,193,78,143,117,2068,867,3175,1163,9262,5575,1532,2826
"62","Colorado Springs, CO, USA","Colorado Springs","CO",410688,53747,329551,26144,835,347,1138,1463,1096,1559,1835,1500,26377,8177,23064,11739,27417,15496,3315,2299
"63","Denver, CO, USA","Denver","CO",590507,47499,434767,59945,2644,2450,5784,4169,4369,3521,4456,3699,40660,9859,27262,9383,50007,20511,8803,3259
"64","Fort Collins, CO, USA","Fort Collins","CO",142332,51446,127749,1754,186,79,208,215,353,240,376,346,5671,2296,6022,2795,12467,5726,1278,1708
"65","Pueblo, CO, USA","Pueblo","CO",106601,34750,84330,2402,245,452,425,1018,970,1130,1227,671,9780,2608,5662,2956,3818,1557,459,242
"66"," Aurora, CO, USA"," Aurora","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Ignacio, CO, USA","Ignacio","CO",1015,40156,501,3,0,9,3,7,14,0,25,0,161,32,69,3,20,4,0,0
"68","Connecticut, USA","Connecticut","Connecticut",3558172,69243,2796198,347941,10257,8056,13984,22610,16636,22133,21741,20390,327186,59088,134500,68406,236672,119519,40468,22966
"69","New London, CT, USA","New London","CT",27550,45509,16794,4577,123,69,29,274,262,273,106,152,2788,409,1095,328,1101,499,121,103
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","New Haven, CT, USA","New Haven","CT",129213,39094,60326,44506,402,522,1007,921,1012,1132,1202,821,10538,1151,3524,1534,5751,2836,1132,2174
"72","Connecticut, USA","Connecticut","Connecticut",3558172,69243,2796198,347941,10257,8056,13984,22610,16636,22133,21741,20390,327186,59088,134500,68406,236672,119519,40468,22966
"73","Delaware, USA","Delaware","Delaware",890856,59317,630804,188519,2595,1760,3162,5623,5887,7468,7888,4209,89036,17669,38874,17645,46411,20618,6832,6351
"74","Washington, DC, USA","Washington","DC",593955,61835,231122,308516,2457,1926,2646,3558,3307,3504,4694,3129,36556,5826,19621,5148,43929,29107,16964,8650
"75","Northern Virgina, VA, USA","Northern Virgina","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Washington, DC, USA","Washington","DC",593955,61835,231122,308516,2457,1926,2646,3558,3307,3504,4694,3129,36556,5826,19621,5148,43929,29107,16964,8650
"78","Daytona Beach, FL, USA","Daytona Beach","FL",62186,29533,36369,22270,95,49,265,420,421,536,732,610,6204,1281,3109,1695,3049,1041,394,60
"79","Fort Myers, FL, USA","Fort Myers","FL",62773,37347,34897,20384,747,375,693,570,346,592,832,672,6436,893,2558,1462,2930,1154,431,233
"80","Fort Lauderdale, FL, USA","Fort Lauderdale","FL",166712,50648,103074,52315,950,1084,1565,976,1281,1464,1669,1599,15682,3199,9374,4134,14269,4702,3161,1125
"81","Gainesville, FL, USA","Gainesville","FL",124597,30952,82663,27780,513,110,179,499,334,656,748,457,5584,1385,3085,2742,6489,3420,1210,2390
"82","Jacksonville, FL, USA","Jacksonville","FL",817602,49192,496761,249577,2733,1217,2306,4129,4334,7011,6938,4717,77245,18022,40539,21313,41399,12087,5099,2622
"83","Flordia Keys,FL, USA","Flordia Keys,FL","Flordia Keys,FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Lakeland, FL, USA","Lakeland","FL",97480,40650,70863,18906,313,402,181,611,710,957,802,594,10248,1825,4305,2162,5051,1722,614,446
"85","Miami, FL, USA","Miami","FL",396069,30270,291795,81693,3042,5397,12673,5247,4533,3674,3811,6023,39454,3728,10664,8413,18073,6706,4396,1734
"86","Ocala, FL, USA","Ocala","FL",56376,36706,38608,12745,167,66,192,468,346,440,727,464,5670,1166,2381,1435,2668,615,473,280
"87","Orlando, FL, USA","Orlando","FL",236532,42755,138029,65854,843,838,1179,1505,1183,1862,1651,1614,20299,3591,10223,6633,16084,4646,2149,936
"88","Panama City, FL, USA","Panama City","FL",36662,41067,26168,7623,105,66,167,261,148,215,270,203,4008,1059,1664,869,1190,522,256,199
"89","Pensacola, FL, USA","Pensacola","FL",52482,44628,35722,13531,110,100,225,102,119,290,676,202,4611,1052,2542,1328,3701,1590,780,336
"90","Sarasota, FL, USA","Sarasota","FL",5309,64737,5001,262,7,0,0,0,16,6,73,39,555,80,410,128,227,80,15,10
"91","Titusville, FL, USA","Titusville","FL",43954,44148,34695,7181,73,65,45,290,197,397,408,354,4554,1332,2380,1778,2033,839,193,67
"92","St. Augustine, FL, USA","St. Augustine","FL",13021,38325,10665,1880,37,7,64,43,93,60,182,83,810,192,759,177,1025,262,167,54
"93","Tallahassee, FL, USA","Tallahassee","FL",179298,38972,103956,61197,268,48,209,427,539,528,1090,671,7878,1844,5768,3389,11639,5532,1964,1886
"94","Tampa, FL, USA","Tampa","FL",336171,43957,216127,89125,1052,985,1805,2334,2201,2545,2683,2873,27064,4675,12845,7805,20986,8039,4307,1902
"95","Vero Beach, FL, USA","Vero Beach","FL",15664,40950,14761,478,9,19,134,37,65,80,119,186,1384,350,692,263,1163,353,317,93
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Georgia, USA","Georgia","Georgia",9600612,49736,5849795,2922448,35962,27198,55008,73152,75645,95289,90450,49128,871947,154626,420954,169023,523196,184729,64460,38125
"98","Albany, GA, USA","Albany","GA",77400,30155,19880,55198,274,247,265,429,536,946,1270,712,6725,1342,3189,909,2077,546,352,288
"99","Athens, GA, USA","Athens","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Atlanta, GA, USA","Atlanta","GA",419250,45946,163060,226917,1544,757,1364,1925,1610,3271,4100,2075,29217,3860,16854,4933,38521,15497,7338,3036
"101","Augusta, GA, USA","Augusta","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Brunswick, GA, USA","Brunswick","GA",15482,28196,4894,9315,48,77,111,141,191,301,295,36,1802,206,569,244,489,50,52,64
"103","Columbus, GA, USA","Columbus","GA",188548,41088,88711,85164,567,395,716,1084,1094,1648,1748,1150,15286,3599,10261,3499,7461,2655,1231,620
"104","Macon, GA, USA","Macon","GA",91969,26545,26871,61080,246,187,547,666,903,1109,1533,951,8700,1087,3059,1105,2387,678,652,255
"105","Georgia, USA","Georgia","Georgia",9600612,49736,5849795,2922448,35962,27198,55008,73152,75645,95289,90450,49128,871947,154626,420954,169023,523196,184729,64460,38125
"106","Savannah, GA, USA","Savannah","GA",135780,35623,55211,75144,634,146,513,751,791,1273,1893,807,12716,1867,6238,1993,5841,1985,657,556
"107","Statesboro, GA, USA","Statesboro","GA",27922,19544,15100,10991,64,33,37,188,76,77,161,37,1360,262,819,187,725,264,51,202
"108","Valdosta, GA, USA","Valdosta","GA",53527,31215,22106,28100,200,120,179,258,353,541,524,176,3910,740,1985,702,1783,732,361,245
"109","Hawaii, USA","Hawaii","Hawaii",1346554,67116,335908,21628,3709,2563,5303,5625,4530,6572,6647,6153,134175,24197,77429,42711,84598,27288,11456,6652
"110","Island of Hawaii, Hawaii, USA","Island of Hawaii","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Honolulu, HI, USA","Honolulu","HI",49650,110451,13598,232,40,0,18,91,68,188,115,164,2978,674,2680,1226,5351,2357,1610,773
"112","Kauai, Hawaii, USA","Kauai","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Maui, Hawaii, USA","Maui","Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Idaho, USA","Idaho","Idaho",1549987,46890,1431372,8823,4620,3087,7141,8494,6780,9599,10116,8289,134457,36704,87518,38707,80939,26691,9535,7047
"115","Boise, ID, USA","Boise","ID",207560,49516,188441,2850,412,190,333,536,483,756,766,1090,14415,4691,12252,4887,16511,6459,2267,1401
"116","Idaho, USA","Idaho","Idaho",1549987,46890,1431372,8823,4620,3087,7141,8494,6780,9599,10116,8289,134457,36704,87518,38707,80939,26691,9535,7047
"117","Lewiston, ID, USA","Lewiston","ID",31824,43927,29764,127,81,14,37,262,99,258,142,132,3848,713,2004,1013,1247,373,150,104
"118","Twin Falls, ID, USA","Twin Falls","ID",43287,41124,39324,243,329,126,264,284,250,224,287,366,3654,989,2279,1330,1745,399,109,99
"119","Illinois, USA","Illinois","Illinois",12790182,56576,9214977,1859608,40387,27876,80054,91753,62926,82793,91113,83349,1121657,253976,579032,264315,769900,315755,109261,55916
"120","Bloomington, IL, USA","Bloomington","IL",75757,58662,59617,7700,40,22,109,323,200,445,188,278,4809,1242,2924,1332,7421,2576,654,500
"121","Carbondale, IL, USA","Carbondale","IL",25747,18813,16502,6469,31,0,43,38,24,19,134,26,929,145,899,314,1220,926,117,482
"122","Champaign, IL, USA","Champaign","IL",80223,38348,55585,12853,138,42,51,153,120,118,391,265,3526,792,2679,1423,4814,2805,811,1845
"123","Chicago, IL, USA","Chicago","IL",2700741,47371,1213457,901654,13248,12576,31681,26828,20631,21384,25477,21602,206834,34479,113377,41306,166444,66230,28877,12421
"124","Decatur, IL, USA","Decatur","IL",76286,39697,55225,17278,194,21,31,715,259,666,853,643,8109,2202,3491,1472,2954,1171,407,224
"125","LaSalle, IL, USA","LaSalle","IL",9620,39287,8739,39,80,2,25,117,7,143,89,99,1077,317,536,287,427,72,49,9
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Peoria, IL, USA","Peoria","IL",23355,51218,22364,81,56,0,14,153,149,200,73,108,2412,803,1394,818,1296,374,107,24
"128","Rockford, IL, USA","Rockford","IL",153509,38864,107275,32177,575,415,731,1345,1137,1526,1921,1236,15661,3327,5497,3075,6193,2346,1148,380
"129","Springfield, IL, USA","Springfield","IL",115658,48022,88632,20820,290,41,166,642,431,1036,634,546,8783,2300,5317,2947,7696,3196,1390,438
"130","Western, IL, USA","Western","IL",12747,136096,12462,35,0,0,0,0,0,7,3,16,234,124,343,72,1571,800,434,169
"131","Indiana, USA","Indiana","Indiana",6454254,48393,5482893,576304,16701,7102,18890,49561,38784,56701,56433,37514,728459,133024,276346,136145,300157,107617,35908,24996
"132","Bloomington, IN, USA","Bloomington","IN",79662,26516,66473,3653,103,36,33,210,282,184,298,172,2605,563,2359,653,4470,3170,614,1778
"133","Evansville, IN, USA","Evansville","IN",117942,36143,98573,14197,289,77,276,767,770,1478,1098,832,13354,2488,5998,2401,4570,1534,498,351
"134","Fort Wayne, IN, USA","Fort Wayne","IN",254228,44597,190885,39489,583,274,1225,1252,1164,1620,1440,1487,22837,5471,11797,5953,14396,3973,1366,814
"135","Indianapolis, IN, USA","Indianapolis","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Lafayette, IN, USA","Lafayette","IN",66821,38556,57723,4107,174,128,286,335,365,430,533,319,6358,1338,2938,1290,3677,1297,330,292
"138","Muncie, IN, USA","Muncie","IN",69869,30200,58634,6053,155,132,144,427,476,1053,1021,291,5502,1312,2502,698,2043,1050,224,618
"139","Richmond, IN, USA","Richmond","IN",521,72841,500,7,0,0,0,5,6,0,10,0,56,6,56,6,2,2,0,0
"140","South Bend, IN, USA","South Bend","IN",101708,34749,64473,26471,370,152,518,494,556,1111,1356,608,9647,1816,4683,1696,3820,1679,530,714
"141","Terre Haute, IN, USA","Terre Haute","IN",4765,38929,4640,41,14,0,0,0,0,34,74,75,733,64,280,125,127,56,16,8
"142","Iowa, USA","Iowa","Iowa",3032266,50451,2782349,85714,6133,3305,6376,23895,12454,15354,19602,13954,339579,68890,133863,86774,160851,48264,18582,12355
"143","Cedar Rapids, IA, USA","Cedar Rapids","IA",126306,51108,111440,7121,253,75,26,484,372,613,752,493,11026,3201,6692,3822,7940,2740,764,394
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Dubuque, IA, USA","Dubuque","IA",57679,43362,53340,1244,137,7,59,437,193,264,408,399,6512,1013,2325,1075,3067,1150,371,285
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Iowa City, IA, USA","Iowa City","IA",67506,41956,56777,3367,40,19,11,178,161,44,37,152,2301,567,2440,956,4361,2580,921,1762
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Davenport, IA, USA","Davenport","IA",99010,42983,81103,10318,228,131,342,457,435,547,763,572,9223,2630,4699,2663,5472,1928,561,212
"151","Sioux City, IA, USA","Sioux City","IA",82316,43158,65964,2468,384,410,495,749,519,589,748,389,8277,1783,3616,1667,3439,998,393,256
"152","Waterloo, IA, USA","Waterloo","IA",68106,40238,53386,10234,372,115,135,509,279,566,634,577,8002,1463,2876,1673,2704,697,394,171
"153","Kansas, USA","Kansas","Kansas",2830985,50594,2412703,163063,5989,4659,10611,18603,12914,14771,18008,12044,257933,66207,139548,57093,172260,60550,20836,12930
"154","Lawrence, KS, USA","Lawrence","KS",87157,42761,72125,4223,70,23,73,125,149,172,286,211,3533,1011,3714,1335,6052,3007,932,1658
"155","Manhattan, KS, USA","Manhattan","KS",51536,38599,44301,2670,13,0,15,76,105,49,107,36,1998,522,1893,752,3010,1686,436,1112
"156","Topeka, KS, USA","Topeka","KS",126842,40362,96637,14465,470,307,402,708,878,761,746,577,11694,3000,5713,2328,6685,2677,1137,419
"157","Wichita, KS, USA","Wichita","KS",377906,45625,276718,41018,996,775,1963,2153,2313,2499,2934,2105,31624,8963,19859,6444,22461,7177,2496,1535
"158","Kentucky, USA","Kentucky","Kentucky",4316040,42248,3808381,336628,15645,12531,19659,69393,37551,47209,44636,24462,493234,83885,181711,72227,172607,68130,28008,14279
"159","Bowling Green, KY, USA","Bowling Green","KY",57323,33072,43589,8377,148,237,224,426,354,285,482,195,4100,748,2352,580,2590,890,381,444
"160","Eastern, KY, USA","Eastern","KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Lexington, KY, USA","Lexington","KY",292370,48306,223665,41965,780,713,1289,1898,1436,1743,2108,1329,19556,4133,14070,5371,21025,8076,4355,3400
"162","Louisville, KY, USA","Louisville","KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Owensboro, KY, USA","Owensboro","KY",56928,37289,49938,3962,193,69,211,441,347,579,434,317,6902,1083,2206,1153,1981,721,444,124
"164","Bowling Green, USA","Bowling Green","Bowling Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Louisiana, USA","Louisiana","Louisiana",4484596,44086,2838981,1429820,18353,11174,23409,49951,38726,52279,58187,26318,486723,73566,210535,54181,188436,52220,28004,15107
"166","Alexandria, LA, USA","Alexandria","LA",47749,35810,17478,28730,302,49,129,548,389,657,704,225,4318,745,1814,456,2017,545,514,159
"167","Baton Rouge, LA, USA","Baton Rouge","LA",229169,37381,92825,123128,627,342,761,1511,905,1883,2648,1519,16026,2597,10063,2119,11692,4272,2157,2220
"168","Houma, LA, USA","Houma","LA",33706,44204,22578,8263,214,163,366,640,456,479,319,248,3551,565,1341,425,1074,230,243,148
"169","Lafayette, LA, USA","Lafayette","LA",119782,44688,77600,37388,520,176,483,693,551,864,932,708,8726,1718,6540,1442,7786,2064,1584,710
"170","Lake Charles, LA, USA","Lake Charles","LA",71630,35996,34167,33686,253,110,283,723,450,806,705,319,7042,1225,3276,924,3364,802,419,362
"171","Monroe, LA, USA","Monroe","LA",49119,29051,16206,31578,326,38,267,381,398,272,783,149,3579,679,2040,345,2179,531,470,264
"172","New Orleans, LA, USA","New Orleans","LA",321409,37325,107536,193128,1434,688,1601,2633,2049,2974,4065,1959,27038,3930,17052,3484,18006,6769,5302,2519
"173","Shreveport, LA, USA","Shreveport","LA",198886,36803,82273,107989,500,217,652,870,929,1548,2508,1404,19303,2932,9694,2750,8923,2909,1933,783
"174","Maine, USA","Maine","Maine",1328543,47898,1268113,13979,2505,1174,2245,12182,7789,8931,8992,5447,158924,26485,59795,35711,74153,26913,10294,6120
"175","Maryland, USA","Maryland","Maryland",5736545,72419,3397326,1683842,16663,11900,25499,32557,31824,40890,39970,29749,475070,102528,240306,94952,356064,183271,64497,54948
"176","Annapolis, MD, USA","Annapolis","MD",38124,70908,25169,9140,144,184,419,324,91,441,106,166,2487,658,1148,466,3129,1679,551,404
"177","Baltimore, MD, USA","Baltimore","MD",620210,40100,186938,395975,2512,957,3243,6865,6518,8935,8492,5243,57112,9353,23028,6823,26084,11897,5494,3685
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Salisbury, MD, USA","Salisbury","MD",29808,40590,17316,9727,112,48,230,216,196,229,236,125,2356,406,974,546,1417,497,47,125
