ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9131508,HW276487,05/16/2013 03:02:00 AM,070XX S PRAIRIE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,0322,003,6,69,15,1179292,1858601,2013,05/23/2013 12:40:15 AM,41.76728753231608,-87.61837432769352,"(41.76728753231608, -87.61837432769352)"
9131839,HW276767,05/16/2013 03:00:00 AM,049XX S LOOMIS BLVD,0810,THEFT,OVER $500,APARTMENT,false,false,0933,009,16,61,06,1167798,1871829,2013,05/18/2013 12:40:11 AM,41.80384122479515,-87.66012497968045,"(41.80384122479515, -87.66012497968045)"
9133029,HW276477,05/16/2013 03:00:00 AM,051XX N MILWAUKEE AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,POLICE FACILITY/VEH PARKING LOT,true,false,1623,016,45,11,11,1138474,1933671,2013,05/19/2013 12:39:40 AM,41.974123461314896,-87.76617343810628,"(41.974123461314896, -87.76617343810628)"
9132035,HW276831,05/16/2013 03:00:00 AM,049XX S LOOMIS BLVD,0810,THEFT,OVER $500,APARTMENT,false,false,0933,009,16,61,06,1167798,1871829,2013,05/19/2013 12:39:40 AM,41.80384122479515,-87.66012497968045,"(41.80384122479515, -87.66012497968045)"
9131749,HW276739,05/16/2013 03:00:00 AM,039XX N KEDZIE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,false,false,1733,017,33,16,14,1154396,1925917,2013,05/18/2013 12:40:11 AM,41.952541816767585,-87.7078315315877,"(41.952541816767585, -87.7078315315877)"
9131748,HW276747,05/16/2013 03:00:00 AM,0000X E LAKE ST,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,0111,001,42,32,06,1176828,1901702,2013,05/18/2013 12:40:11 AM,41.885616078464324,-87.62610535663808,"(41.885616078464324, -87.62610535663808)"
9132631,HW277248,05/16/2013 03:00:00 AM,007XX N DEARBORN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1832,018,42,8,08B,1175758,1905617,2013,05/23/2013 12:40:15 AM,41.896383178430106,-87.62991670591235,"(41.896383178430106, -87.62991670591235)"
9131592,HW276529,05/16/2013 03:00:00 AM,071XX S UNION AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0732,007,6,68,07,1173021,1857650,2013,05/19/2013 12:39:40 AM,41.76481861689643,-87.6413881241471,"(41.76481861689643, -87.6413881241471)"
9131498,HW276489,05/16/2013 03:00:00 AM,037XX N RICHMOND ST,0460,BATTERY,SIMPLE,APARTMENT,true,true,1733,017,33,16,08B,1156011,1924755,2013,05/18/2013 12:40:11 AM,41.94932071529908,-87.70192617954586,"(41.94932071529908, -87.70192617954586)"
9131782,HW276614,05/16/2013 03:00:00 AM,076XX S PHILLIPS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,false,false,0421,004,7,43,14,1193819,1854724,2013,05/19/2013 12:39:40 AM,41.75630505298801,-87.56525452398265,"(41.75630505298801, -87.56525452398265)"
9131527,HW276498,05/16/2013 02:53:00 AM,051XX W HIRSCH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,2533,025,37,25,15,1141683,1908865,2013,05/18/2013 12:40:11 AM,41.905994489784106,-87.75498831541842,"(41.905994489784106, -87.75498831541842)"
9131574,HW276476,05/16/2013 02:45:00 AM,005XX E 107TH ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,0512,005,9,49,06,1181828,1834165,2013,05/19/2013 12:39:40 AM,41.700174078291624,-87.60983182610111,"(41.700174078291624, -87.60983182610111)"
9132946,HW276492,05/16/2013 02:42:00 AM,052XX W DIVERSEY AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,2514,025,31,19,05,1140777,1918149,2013,05/22/2013 12:45:12 AM,41.93148750937615,-87.75808767163078,"(41.93148750937615, -87.75808767163078)"
9136771,HW276474,05/16/2013 02:38:00 AM,048XX S DREXEL BLVD,0460,BATTERY,SIMPLE,APARTMENT,false,false,0223,002,4,39,08B,1182960,1873234,2013,05/22/2013 12:45:12 AM,41.807357317858944,-87.60447501538076,"(41.807357317858944, -87.60447501538076)"
9132952,HW276475,05/16/2013 02:33:00 AM,002XX W 33RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0915,,11,34,14,,,2013,05/23/2013 12:40:15 AM,,,
9134503,HW279170,05/16/2013 02:30:00 AM,012XX W DIVISION ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,BANK,false,false,1433,014,32,24,26,1168222,1908193,2013,05/23/2013 12:40:15 AM,41.903618098482866,-87.65752031136024,"(41.903618098482866, -87.65752031136024)"
9131517,HW276470,05/16/2013 02:30:00 AM,074XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0733,007,17,68,08B,1171554,1855508,2013,05/19/2013 12:39:40 AM,41.75897295886701,-87.64682773536823,"(41.75897295886701, -87.64682773536823)"
9131524,HW276454,05/16/2013 02:02:00 AM,013XX W WINNEMAC AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,false,false,2033,020,48,3,26,1166610,1933643,2013,05/18/2013 12:40:11 AM,41.97348885741246,-87.6627102169522,"(41.97348885741246, -87.6627102169522)"
9133754,HW276601,05/16/2013 02:00:00 AM,011XX W ALTGELD ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1932,,43,7,05,,,2013,05/22/2013 12:45:12 AM,,,
9133127,HW276461,05/16/2013 02:00:00 AM,016XX S RIDGEWAY AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1014,010,24,29,08B,1151685,1891260,2013,05/22/2013 12:45:12 AM,41.857493564180295,-87.71871015066131,"(41.857493564180295, -87.71871015066131)"
9132702,HW277461,05/16/2013 02:00:00 AM,008XX N LEAVITT ST,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,false,false,1212,012,32,24,06,1161548,1905514,2013,05/19/2013 12:39:40 AM,41.896408374194465,-87.68211009700543,"(41.896408374194465, -87.68211009700543)"
9135908,HW276501,05/16/2013 02:00:00 AM,054XX W VAN BUREN ST,0560,ASSAULT,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1522,015,29,25,08A,1140025,1897515,2013,05/21/2013 12:41:47 AM,41.87487919832939,-87.76135676273651,"(41.87487919832939, -87.76135676273651)"
9131831,HW276699,05/16/2013 02:00:00 AM,012XX W DIVERSEY PKWY,0820,THEFT,$500 AND UNDER,STREET,false,false,1932,019,32,6,06,1167518,1918767,2013,05/18/2013 12:40:11 AM,41.93264895436652,-87.65980120803906,"(41.93264895436652, -87.65980120803906)"
