64,"fortcollins",\N,\N,\N,\N,-105.084,40.5853,"Fort Collins, CO, USA"
65,"pueblo",\N,\N,\N,\N,-104.609,38.2544,"Pueblo, CO, USA"
66,"rockies",\N,\N,\N,\N,-104.85,39.72," Aurora, CO, USA"
67,"westslope",\N,\N,\N,\N,-107.63,37.11,"Ignacio, CO, USA"
68,"connecticut",\N,\N,\N,\N,-73.0877,41.6032,"Connecticut, USA"
69,"newlondon",\N,\N,\N,\N,-72.09,41.35,"New London, CT, USA"
70,"hartford",\N,\N,\N,\N,-72.6851,41.7637,"Hartford, CT, USA"
71,"newhaven",\N,\N,\N,\N,-72.9279,41.3083,"New Haven, CT, USA"
72,"nwct",\N,\N,\N,\N,-73.0877,41.6032,"Connecticut, USA"
73,"delaware",\N,\N,\N,\N,-75.5277,38.9108,"Delaware, USA"
74,"washingtondc",\N,\N,\N,\N,-77.0365,38.9072,"Washington, DC, USA"
75,"nova",\N,\N,\N,\N,-77.3,38.836,"Northern Virgina, VA, USA"
76,"southernmaryland",\N,\N,\N,\N,-76.9557,38.8568,"Washington, MD, USA"
77,"dc",\N,\N,\N,\N,-77.0365,38.9072,"Washington, DC, USA"
78,"daytona",\N,\N,\N,\N,-81.0108,29.2296,"Daytona Beach, FL, USA"
79,"fortmyers",\N,\N,\N,\N,-81.8723,26.6406,"Fort Myers, FL, USA"
80,"ftlauderdale",\N,\N,\N,\N,-80.1434,26.1223,"Fort Lauderdale, FL, USA"
81,"gainesville",\N,\N,\N,\N,-82.3248,29.6516,"Gainesville, FL, USA"
82,"jacksonville",\N,\N,\N,\N,-81.6556,30.3322,"Jacksonville, FL, USA"
83,"keys",\N,\N,\N,\N,-80.6147,24.9358,"Flordia Keys,FL, USA"
84,"lakeland",\N,\N,\N,\N,-81.9498,28.0395,"Lakeland, FL, USA"
85,"miami",\N,\N,\N,\N,-80.2264,25.789,"Miami, FL, USA"
86,"ocala",\N,\N,\N,\N,-82.1401,29.1872,"Ocala, FL, USA"
87,"orlando",\N,\N,\N,\N,-81.3792,28.5383,"Orlando, FL, USA"
88,"panamacity",\N,\N,\N,\N,-85.6602,30.1588,"Panama City, FL, USA"
89,"pensacola",\N,\N,\N,\N,-87.2169,30.4213,"Pensacola, FL, USA"
90,"sarasota",\N,\N,\N,\N,-82.5307,27.3364,"Sarasota, FL, USA"
91,"spacecoast",\N,\N,\N,\N,-80.7995,28.5138,"Titusville, FL, USA"
92,"staugustine",\N,\N,\N,\N,-81.3132,29.8943,"St. Augustine, FL, USA"
93,"tallahassee",\N,\N,\N,\N,-84.2807,30.4383,"Tallahassee, FL, USA"
94,"tampa",\N,\N,\N,\N,-82.4572,27.9506,"Tampa, FL, USA"
95,"treasurecoast",\N,\N,\N,\N,-80.5135,27.6364,"Vero Beach, FL, USA"
96,"westpalmbeach",\N,\N,\N,\N,-80.0534,26.7153,"West Palm Beach, FL, USA"
97,"georgia",\N,\N,\N,\N,-82.9071,32.1574,"Georgia, USA"
98,"albanyga",\N,\N,\N,\N,-84.1557,31.5785,"Albany, GA, USA"
99,"athensga",\N,\N,\N,\N,-83.3833,33.95,"Athens, GA, USA"
100,"atlanta",\N,\N,\N,\N,-84.388,33.749,"Atlanta, GA, USA"
101,"augusta",\N,\N,\N,\N,-82.0105,33.4735,"Augusta, GA, USA"
102,"brunswick",\N,\N,\N,\N,-81.4915,31.15,"Brunswick, GA, USA"
103,"columbusga",\N,\N,\N,\N,-84.9877,32.461,"Columbus, GA, USA"
104,"macon",\N,\N,\N,\N,-83.6324,32.8407,"Macon, GA, USA"
