Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name
Alachua County Sheriff Department,FL,12,,583.0,4,56.0,69,454,2403.0,740,1576.0,87,,,,,,,,,,alachua county
Alachua Police Dept,FL,12,9264.0,40.0,0,3.0,4,33,231.0,66,159.0,6,431.8,0.0,32.4,43.2,356.2,2493.5,712.4,1716.3,64.8,alachua
Altamonte Springs Police Dept,FL,12,42296.0,142.0,1,9.0,35,97,1293.0,181,1042.0,70,335.7,2.4,21.3,82.8,229.3,3057.0,427.9,2463.6,165.5,altamonte springs
Altha Police Dept,FL,12,548.0,0.0,0,0.0,0,0,4.0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,729.9,365.0,365.0,0.0,altha
Ansonia Police Dept,FL,12,19271.0,29.0,0,4.0,15,10,455.0,80,317.0,58,150.5,0.0,20.8,77.8,51.9,2361.1,415.1,1645.0,301.0,ansonia
Apalachicola Police Dept,FL,12,2273.0,3.0,0,1.0,0,2,24.0,15,8.0,1,132.0,0.0,44.0,0.0,88.0,1055.9,659.9,352.0,44.0,apalachicola
Apopka Police Dept,FL,12,43046.0,146.0,1,13.0,59,73,1316.0,279,977.0,60,339.2,2.3,30.2,137.1,169.6,3057.2,648.1,2269.7,139.4,apopka
Arcadia Police Dept,FL,12,7747.0,65.0,1,4.0,16,44,194.0,85,106.0,3,839.0,12.9,51.6,206.5,568.0,2504.2,1097.2,1368.3,38.7,arcadia
Astatula Police Dept,FL,12,1861.0,3.0,0,1.0,0,2,23.0,11,9.0,3,161.2,0.0,53.7,0.0,107.5,1235.9,591.1,483.6,161.2,astatula
Atlantic Beach Police Dept,FL,12,12925.0,55.0,0,2.0,12,41,312.0,62,245.0,5,425.5,0.0,15.5,92.8,317.2,2413.9,479.7,1895.6,38.7,atlantic beach
Atlantis Police Dept,FL,12,2057.0,5.0,0,1.0,0,4,1.0,1,0.0,0,243.1,0.0,48.6,0.0,194.5,48.6,48.6,0.0,0.0,atlantis
Auburndale Police Dept,FL,12,13862.0,46.0,0,5.0,17,24,865.0,171,671.0,23,331.8,0.0,36.1,122.6,173.1,6240.1,1233.6,4840.6,165.9,auburndale
Avon Police Dept,FL,12,18162.0,5.0,0,2.0,2,1,169.0,25,143.0,1,27.5,0.0,11.0,11.0,5.5,930.5,137.7,787.4,5.5,avon
Baker County Sheriff Department,FL,12,,63.0,0,4.0,9,50,293.0,51,228.0,14,,,,,,,,,,baker county
Bal Harbour Police Dept,FL,12,2609.0,1.0,0,0.0,0,1,76.0,3,73.0,0,38.3,0.0,0.0,0.0,38.3,2913.0,115.0,2798.0,0.0,bal harbour
Bartow Police Dept,FL,12,17740.0,116.0,1,6.0,21,88,994.0,228,740.0,26,653.9,5.6,33.8,118.4,496.1,5603.2,1285.2,4171.4,146.6,bartow
Bay County Sheriff Department,FL,12,,336.0,3,41.0,52,240,2694.0,702,1871.0,121,,,,,,,,,,bay county
Bay Harbor Islands Police Dept,FL,12,5841.0,7.0,0,2.0,1,4,64.0,28,30.0,6,119.8,0.0,34.2,17.1,68.5,1095.7,479.4,513.6,102.7,bay harbor islands
Belle Glade Police Dept,FL,12,17908.0,366.0,4,11.0,35,316,696.0,272,387.0,37,2043.8,22.3,61.4,195.4,1764.6,3886.5,1518.9,2161.0,206.6,belle glade
Belleair Police Dept,FL,12,3925.0,2.0,0,1.0,0,1,118.0,26,88.0,4,51.0,0.0,25.5,0.0,25.5,3006.4,662.4,2242.0,101.9,belleair
Belleair Beach Police Dept,FL,12,1582.0,1.0,0,0.0,0,1,35.0,7,26.0,2,63.2,0.0,0.0,0.0,63.2,2212.4,442.5,1643.5,126.4,belleair beach
Belleair Bluffs Police D,FL,12,2060.0,9.0,0,0.0,2,7,70.0,18,48.0,4,436.9,0.0,0.0,97.1,339.8,3398.1,873.8,2330.1,194.2,belleair bluffs police d
Belleview Police Dept,FL,12,4571.0,16.0,1,2.0,5,8,204.0,68,121.0,15,350.0,21.9,43.8,109.4,175.0,4462.9,1487.6,2647.1,328.2,belleview
Berlin Police Dept,FL,12,19935.0,21.0,0,0.0,5,16,309.0,55,243.0,11,105.3,0.0,0.0,25.1,80.3,1550.0,275.9,1219.0,55.2,berlin
Bethany Beach Police Dept,FL,12,1089.0,1.0,0,0.0,0,1,121.0,17,103.0,1,91.8,0.0,0.0,0.0,91.8,11111.1,1561.1,9458.2,91.8,bethany beach
Bethel Police Dept,FL,12,18822.0,6.0,0,3.0,2,1,321.0,48,263.0,10,31.9,0.0,15.9,10.6,5.3,1705.5,255.0,1397.3,53.1,bethel
Biscayne Park Police Dept,FL,12,3169.0,4.0,0,0.0,1,3,32.0,19,13.0,0,126.2,0.0,0.0,31.6,94.7,1009.8,599.6,410.2,0.0,biscayne park
Blades Police Dept,FL,12,1275.0,7.0,0,1.0,3,3,31.0,7,22.0,2,549.0,0.0,78.4,235.3,235.3,2431.4,549.0,1725.5,156.9,blades
Bloomfield Police Dept,FL,12,20557.0,31.0,0,5.0,8,18,505.0,69,404.0,32,150.8,0.0,24.3,38.9,87.6,2456.6,335.7,1965.3,155.7,bloomfield
Blountstown Police Dept,FL,12,2557.0,3.0,0,1.0,0,2,42.0,7,34.0,1,117.3,0.0,39.1,0.0,78.2,1642.5,273.8,1329.7,39.1,blountstown
Boca Raton Police Dept,FL,12,86493.0,164.0,0,12.0,62,90,2557.0,491,1965.0,101,189.6,0.0,13.9,71.7,104.1,2956.3,567.7,2271.9,116.8,boca raton
Bonifay Police Dept,FL,12,2834.0,5.0,0,1.0,0,4,41.0,22,17.0,2,176.4,0.0,35.3,0.0,141.1,1446.7,776.3,599.9,70.6,bonifay
Bowling Green Police Dept,FL,12,2987.0,11.0,0,0.0,1,10,70.0,19,51.0,0,368.3,0.0,0.0,33.5,334.8,2343.5,636.1,1707.4,0.0,bowling green
Boynton Beach Police Dept,FL,12,69937.0,399.0,5,8.0,127,259,2988.0,627,2210.0,151,570.5,7.1,11.4,181.6,370.3,4272.4,896.5,3160.0,215.9,boynton beach
Bradenton Police Dept,FL,12,50878.0,341.0,4,23.0,94,220,2026.0,511,1440.0,75,670.2,7.9,45.2,184.8,432.4,3982.1,1004.4,2830.3,147.4,bradenton
Bradenton Beach Police Dept,FL,12,1203.0,5.0,0,0.0,1,4,53.0,9,42.0,2,415.6,0.0,0.0,83.1,332.5,4405.7,748.1,3491.3,166.3,bradenton beach
Bradford County Sheriff Department,FL,12,,86.0,0,11.0,2,73,330.0,163,154.0,13,,,,,,,,,,bradford county
Branford Police Dept,FL,12,28055.0,21.0,0,0.0,10,11,675.0,56,595.0,24,74.9,0.0,0.0,35.6,39.2,2406.0,199.6,2120.8,85.5,branford
Brevard County Sheriff Department,FL,12,,876.0,13,67.0,101,695,5233.0,1254,3788.0,191,,,,,,,,,,brevard county
Bridgeport Police Dept,FL,12,146030.0,1760.0,22,388.0,606,744,5153.0,1377,2908.0,868,1205.2,15.1,265.7,415.0,509.5,3528.7,943.0,1991.4,594.4,bridgeport
Bridgeville Police Dept,FL,12,2104.0,17.0,0,2.0,2,13,70.0,14,52.0,4,808.0,0.0,95.1,95.1,617.9,3327.0,665.4,2471.5,190.1,bridgeville
Bristol Police Dept,FL,12,60688.0,93.0,3,9.0,51,30,1590.0,355,1123.0,112,153.2,4.9,14.8,84.0,49.4,2620.0,585.0,1850.4,184.6,bristol
Brookfield Police Dept,FL,12,16662.0,2.0,0,0.0,0,2,191.0,36,149.0,6,12.0,0.0,0.0,0.0,12.0,1146.3,216.1,894.3,36.0,brookfield
Brooksville Police Dept,FL,12,7841.0,78.0,0,6.0,22,50,459.0,65,382.0,12,994.8,0.0,76.5,280.6,637.7,5853.8,829.0,4871.8,153.0,brooksville
Broward County Sheriff Department,FL,12,,335.0,2,23.0,76,234,1113.0,289,770.0,54,,,,,,,,,,broward county
Bunnell Police Dept,FL,12,2754.0,44.0,0,1.0,4,39,115.0,39,69.0,7,1597.7,0.0,36.3,145.2,1416.1,4175.7,1416.1,2505.4,254.2,bunnell
Calhoun County Sheriff Department,FL,12,,15.0,0,1.0,0,14,68.0,24,39.0,5,,,,,,,,,,calhoun county
Camden/Wyoming Police Dept,FL,12,3558.0,17.0,0,1.0,5,11,295.0,18,275.0,2,477.8,0.0,28.1,140.5,309.2,8291.2,505.9,7729.1,56.2,camden/wyoming
Canton Town Police Dept,FL,12,10328.0,1.0,0,1.0,0,0,88.0,7,78.0,3,9.7,0.0,9.7,0.0,0.0,852.1,67.8,755.2,29.0,canton town
Cape Coral Police Dept,FL,12,159625.0,229.0,4,16.0,41,168,3521.0,860,2547.0,114,143.5,2.5,10.0,25.7,105.2,2205.8,538.8,1595.6,71.4,cape coral
Carrabelle Police Dept,FL,12,2823.0,2.0,0,0.0,0,2,18.0,7,11.0,0,70.8,0.0,0.0,0.0,70.8,637.6,248.0,389.7,0.0,carrabelle
Casselberry Police Dept,FL,12,26747.0,161.0,4,9.0,42,106,1070.0,205,822.0,43,601.9,15.0,33.6,157.0,396.3,4000.4,766.4,3073.2,160.8,casselberry
Cedar Key Police Dept,FL,12,702.0,3.0,0,0.0,0,3,37.0,11,25.0,1,427.4,0.0,0.0,0.0,427.4,5270.7,1567.0,3561.3,142.5,cedar key
Center Hill Police Dept,FL,12,1052.0,9.0,0,2.0,1,6,13.0,5,7.0,1,855.5,0.0,190.1,95.1,570.3,1235.7,475.3,665.4,95.1,center hill
Charlotte County Sheriff Department,FL,12,,387.0,1,24.0,33,329,3229.0,861,2252.0,116,,,,,,,,,,charlotte county
Chattahoochee Police Dept,FL,12,3686.0,40.0,0,1.0,1,38,80.0,36,40.0,4,1085.2,0.0,27.1,27.1,1030.9,2170.4,976.7,1085.2,108.5,chattahoochee
Cheshire Police Dept,FL,12,29295.0,4.0,0,0.0,4,0,265.0,48,210.0,7,13.7,0.0,0.0,13.7,0.0,904.6,163.9,716.8,23.9,cheshire
Chiefland Police Dept,FL,12,2239.0,2.0,0,0.0,0,2,223.0,102,118.0,3,89.3,0.0,0.0,0.0,89.3,9959.8,4555.6,5270.2,134.0,chiefland
Chipley Police Dept,FL,12,3660.0,22.0,0,1.0,3,18,145.0,27,117.0,1,601.1,0.0,27.3,82.0,491.8,3961.7,737.7,3196.7,27.3,chipley
Citrus County Sheriff Department,FL,12,,451.0,5,26.0,57,363,2837.0,737,1971.0,129,,,,,,,,,,citrus county
Clay County Sheriff Department,FL,12,,684.0,5,33.0,71,575,3806.0,732,2959.0,115,,,,,,,,,,clay county
Clayton Police Dept,FL,12,2999.0,13.0,0,1.0,0,12,41.0,8,33.0,0,433.5,0.0,33.3,0.0,400.1,1367.1,266.8,1100.4,0.0,clayton
Clearwater Police Dept,FL,12,109255.0,727.0,3,59.0,206,459,4264.0,919,3169.0,176,665.4,2.7,54.0,188.5,420.1,3902.8,841.2,2900.6,161.1,clearwater
Clermont Police Dept,FL,12,29523.0,88.0,0,9.0,15,64,728.0,164,533.0,31,298.1,0.0,30.5,50.8,216.8,2465.9,555.5,1805.4,105.0,clermont
Clewiston Police Dept,FL,12,7244.0,32.0,0,0.0,13,19,305.0,106,194.0,5,441.7,0.0,0.0,179.5,262.3,4210.4,1463.3,2678.1,69.0,clewiston
Clinton Police Dept,FL,12,13326.0,27.0,0,16.0,3,8,302.0,53,241.0,8,202.6,0.0,120.1,22.5,60.0,2266.2,397.7,1808.5,60.0,clinton
Cocoa Police Dept,FL,12,17381.0,312.0,2,18.0,71,221,1343.0,351,919.0,73,1795.1,11.5,103.6,408.5,1271.5,7726.8,2019.4,5287.4,420.0,cocoa
Cocoa Beach Police Dept,FL,12,11388.0,90.0,0,5.0,21,64,828.0,109,694.0,25,790.3,0.0,43.9,184.4,562.0,7270.8,957.1,6094.1,219.5,cocoa beach
Coconut Creek Dept Of Public Safety,FL,12,54651.0,107.0,1,10.0,32,64,1622.0,270,1265.0,87,195.8,1.8,18.3,58.6,117.1,2967.9,494.0,2314.7,159.2,coconut creek dept of public safety
Collier County Sheriff Department,FL,12,,785.0,6,39.0,146,594,4776.0,1224,3322.0,230,,,,,,,,,,collier county
Columbia County Sheriff Department,FL,12,,261.0,0,14.0,20,227,1178.0,559,583.0,36,,,,,,,,,,columbia county
Connecticut State Police,FL,12,,356.0,36,54.0,59,207,4612.0,1312,2986.0,314,,,,,,,,,,connecticut state police
Cooper City Police Dept,FL,12,29473.0,48.0,0,0.0,9,39,666.0,120,518.0,28,162.9,0.0,0.0,30.5,132.3,2259.7,407.2,1757.5,95.0,cooper city
Coral Gables Police Dept,FL,12,48435.0,79.0,3,4.0,22,50,2277.0,409,1757.0,111,163.1,6.2,8.3,45.4,103.2,4701.1,844.4,3627.5,229.2,coral gables
Coral Springs Police Dept,FL,12,125021.0,229.0,1,10.0,78,140,2820.0,572,2098.0,150,183.2,0.8,8.0,62.4,112.0,2255.6,457.5,1678.1,120.0,coral springs
Coventry Police Dept,FL,12,12451.0,2.0,0,2.0,0,0,170.0,67,101.0,2,16.1,0.0,16.1,0.0,0.0,1365.4,538.1,811.2,16.1,coventry
Cresent City Police Dept,FL,12,1592.0,23.0,0,0.0,0,23,84.0,34,50.0,0,1444.7,0.0,0.0,0.0,1444.7,5276.4,2135.7,3140.7,0.0,cresent city
Crestview Police Dept,FL,12,21574.0,186.0,1,14.0,38,133,933.0,167,728.0,38,862.1,4.6,64.9,176.1,616.5,4324.7,774.1,3374.4,176.1,crestview
Cromwell Police Dept,FL,12,14075.0,11.0,0,1.0,6,4,290.0,44,233.0,13,78.2,0.0,7.1,42.6,28.4,2060.4,312.6,1655.4,92.4,cromwell
Cross City Police Dept,FL,12,1759.0,7.0,0,0.0,0,7,36.0,10,26.0,0,398.0,0.0,0.0,0.0,398.0,2046.6,568.5,1478.1,0.0,cross city
Dade City Police Dept,FL,12,6549.0,60.0,1,5.0,10,44,338.0,80,246.0,12,916.2,15.3,76.3,152.7,671.9,5161.1,1221.6,3756.3,183.2,dade city
Dagsboro Police Dept,FL,12,822.0,0.0,0,0.0,0,0,24.0,5,17.0,2,0.0,0.0,0.0,0.0,0.0,2919.7,608.3,2068.1,243.3,dagsboro
Danbury Police Dept,FL,12,81891.0,109.0,1,23.0,45,40,1562.0,287,1201.0,74,133.1,1.2,28.1,55.0,48.8,1907.4,350.5,1466.6,90.4,danbury
Dania Police Department,FL,12,30595.0,213.0,1,12.0,64,136,1494.0,300,1053.0,141,696.2,3.3,39.2,209.2,444.5,4883.2,980.6,3441.7,460.9,dania
Darien Police Dept,FL,12,20998.0,2.0,0,0.0,1,1,99.0,13,85.0,1,9.5,0.0,0.0,4.8,4.8,471.5,61.9,404.8,4.8,darien
Davenport Police Dept,FL,12,2971.0,3.0,0,0.0,0,3,61.0,21,36.0,4,101.0,0.0,0.0,0.0,101.0,2053.2,706.8,1211.7,134.6,davenport
Davie Police Dept,FL,12,94952.0,369.0,5,23.0,74,267,3473.0,667,2565.0,241,388.6,5.3,24.2,77.9,281.2,3657.6,702.5,2701.4,253.8,davie
Daytona Beach Police Dept,FL,12,61861.0,715.0,4,23.0,179,509,3869.0,799,2724.0,346,1155.8,6.5,37.2,289.4,822.8,6254.3,1291.6,4403.4,559.3,daytona beach
Daytona Beach Shores Police Dept,FL,12,4311.0,20.0,0,0.0,2,18,187.0,46,134.0,7,463.9,0.0,0.0,46.4,417.5,4337.7,1067.0,3108.3,162.4,daytona beach shores
Defuniak Springs Police Dept,FL,12,5320.0,53.0,1,3.0,11,38,284.0,70,207.0,7,996.2,18.8,56.4,206.8,714.3,5338.3,1315.8,3891.0,131.6,defuniak springs
Deerfield Beach Police D,FL,12,77431.0,360.0,4,17.0,149,190,2458.0,594,1680.0,184,464.9,5.2,22.0,192.4,245.4,3174.4,767.1,2169.7,237.6,deerfield beach police d
Deland Police Dept,FL,12,27410.0,128.0,2,1.0,37,88,1284.0,281,954.0,49,467.0,7.3,3.6,135.0,321.1,4684.4,1025.2,3480.5,178.8,deland
Delaware City Police Dept,FL,12,1725.0,3.0,0,0.0,2,1,38.0,11,27.0,0,173.9,0.0,0.0,115.9,58.0,2202.9,637.7,1565.2,0.0,delaware city
Delmar Police Dept,FL,12,1648.0,10.0,0,2.0,3,5,64.0,26,37.0,1,606.8,0.0,121.4,182.0,303.4,3883.5,1577.7,2245.1,60.7,delmar
Delray Beach Police Dept,FL,12,62044.0,457.0,6,26.0,157,268,2950.0,565,2230.0,155,736.6,9.7,41.9,253.0,432.0,4754.7,910.6,3594.2,249.8,delray beach
Derby Police Dept,FL,12,12917.0,28.0,1,8.0,10,9,397.0,92,271.0,34,216.8,7.7,61.9,77.4,69.7,3073.5,712.2,2098.0,263.2,derby
De Soto County Sheriff Department,FL,12,,84.0,0,2.0,14,68,635.0,234,381.0,20,,,,,,,,,,de soto county
Dewey Beach Police Dept,FL,12,351.0,7.0,0,0.0,1,6,76.0,9,63.0,4,1994.3,0.0,0.0,284.9,1709.4,21652.4,2564.1,17948.7,1139.6,dewey beach
Dixie County Sheriff Department,FL,12,,51.0,0,5.0,5,41,397.0,203,167.0,27,,,,,,,,,,dixie county
Dover Police Dept,FL,12,36961.0,280.0,1,13.0,61,205,2189.0,116,2008.0,65,757.6,2.7,35.2,165.0,554.6,5922.5,313.8,5432.8,175.9,dover
Dunedin Police Departmen,FL,12,35836.0,110.0,2,19.0,19,70,892.0,205,655.0,32,307.0,5.6,53.0,53.0,195.3,2489.1,572.1,1827.8,89.3,dunedin police departmen
Dunnellon Police Dept,FL,12,1764.0,10.0,0,0.0,3,7,24.0,22,1.0,1,566.9,0.0,0.0,170.1,396.8,1360.5,1247.2,56.7,56.7,dunnellon
East Hampton Police Dept,FL,12,13024.0,5.0,1,1.0,1,2,148.0,34,109.0,5,38.4,7.7,7.7,7.7,15.4,1136.4,261.1,836.9,38.4,east hampton
East Hartford Police,FL,12,51431.0,192.0,2,26.0,83,81,1573.0,362,1029.0,182,373.3,3.9,50.6,161.4,157.5,3058.5,703.9,2000.7,353.9,east hartford police
East Haven Police Dept,FL,12,29288.0,32.0,1,6.0,15,10,875.0,166,642.0,67,109.3,3.4,20.5,51.2,34.1,2987.6,566.8,2192.0,228.8,east haven
East Windsor Police Dept,FL,12,11200.0,18.0,0,7.0,6,5,338.0,61,268.0,9,160.7,0.0,62.5,53.6,44.6,3017.9,544.6,2392.9,80.4,east windsor
Easton Police Dept,FL,12,7584.0,0.0,0,0.0,0,0,40.0,17,22.0,1,0.0,0.0,0.0,0.0,0.0,527.4,224.2,290.1,13.2,easton
Eatonville Police Dept,FL,12,2229.0,32.0,1,0.0,4,27,114.0,45,61.0,8,1435.6,44.9,0.0,179.5,1211.3,5114.4,2018.8,2736.7,358.9,eatonville
Edgewater Police Dept,FL,12,21044.0,40.0,0,2.0,11,27,526.0,138,360.0,28,190.1,0.0,9.5,52.3,128.3,2499.5,655.8,1710.7,133.1,edgewater
Edgewood Police Dept,FL,12,2590.0,3.0,0,0.0,0,3,70.0,16,50.0,4,115.8,0.0,0.0,0.0,115.8,2702.7,617.8,1930.5,154.4,edgewood
El Portal Police Dept,FL,12,2412.0,6.0,0,0.0,3,3,82.0,38,43.0,1,248.8,0.0,0.0,124.4,124.4,3399.7,1575.5,1782.8,41.5,el portal
Ellendale Police Dept,FL,12,390.0,0.0,0,0.0,0,0,4.0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,1025.6,1025.6,0.0,0.0,ellendale
Elsmere Police Dept,FL,12,6240.0,64.0,0,0.0,17,47,169.0,40,117.0,12,1025.6,0.0,0.0,272.4,753.2,2708.3,641.0,1875.0,192.3,elsmere
Enfield Police Dept,FL,12,44806.0,30.0,0,0.0,12,18,820.0,198,591.0,31,67.0,0.0,0.0,26.8,40.2,1830.1,441.9,1319.0,69.2,enfield
Escambia County Sheriff Department,FL,12,,1960.0,15,132.0,412,1401,11285.0,3156,7579.0,550,,,,,,,,,,escambia county
Town Of Estes Park Police Dept,FL,12,6059.0,11.0,0,1.0,3,7,96.0,17,79.0,0,181.5,0.0,16.5,49.5,115.5,1584.4,280.6,1303.8,0.0,town of estes park
Eustis Police Dept,FL,12,19062.0,50.0,1,6.0,19,24,646.0,164,466.0,16,262.3,5.2,31.5,99.7,125.9,3388.9,860.4,2444.7,83.9,eustis
Fairfield Police Dept,FL,12,60122.0,33.0,0,2.0,13,18,1301.0,231,1000.0,70,54.9,0.0,3.3,21.6,29.9,2163.9,384.2,1663.3,116.4,fairfield
Farmington Police Dept,FL,12,25429.0,24.0,0,2.0,17,5,629.0,50,549.0,30,94.4,0.0,7.9,66.9,19.7,2473.6,196.6,2159.0,118.0,farmington
Fellsmere Police Dept,FL,12,5300.0,11.0,0,0.0,4,7,105.0,33,71.0,1,207.5,0.0,0.0,75.5,132.1,1981.1,622.6,1339.6,18.9,fellsmere
Felton Police Dept,FL,12,1334.0,8.0,0,0.0,0,8,28.0,4,24.0,0,599.7,0.0,0.0,0.0,599.7,2099.0,299.9,1799.1,0.0,felton
Fenwick Police Dept,FL,12,388.0,0.0,0,0.0,0,0,35.0,7,28.0,0,0.0,0.0,0.0,0.0,0.0,9020.6,1804.1,7216.5,0.0,fenwick
Fernandina Beach Police Dept,FL,12,11783.0,41.0,0,4.0,8,29,333.0,74,248.0,11,348.0,0.0,33.9,67.9,246.1,2826.1,628.0,2104.7,93.4,fernandina beach
Flagler County Sheriff Department,FL,12,,204.0,0,5.0,34,165,1680.0,362,1255.0,63,,,,,,,,,,flagler county
Flagler Beach Police Dept,FL,12,4625.0,9.0,1,2.0,0,6,147.0,35,108.0,4,194.6,21.6,43.2,0.0,129.7,3178.4,756.8,2335.1,86.5,flagler beach
Florida City Police Dept,FL,12,11668.0,242.0,3,6.0,84,149,1154.0,230,860.0,64,2074.0,25.7,51.4,719.9,1277.0,9890.3,1971.2,7370.6,548.5,florida city
Fort Lauderdale Police Dept,FL,12,170827.0,1543.0,16,48.0,835,644,9960.0,2951,6419.0,590,903.3,9.4,28.1,488.8,377.0,5830.5,1727.5,3757.6,345.4,fort lauderdale
Fort Myers Police Dept,FL,12,64379.0,754.0,24,26.0,172,532,2346.0,507,1639.0,200,1171.2,37.3,40.4,267.2,826.4,3644.0,787.5,2545.9,310.7,fort myers
Fort Pierce Police Dept,FL,12,42566.0,472.0,3,31.0,137,301,2325.0,705,1528.0,92,1108.9,7.0,72.8,321.9,707.1,5462.1,1656.3,3589.7,216.1,fort pierce
Fort Walton Beach Police Dept,FL,12,20063.0,48.0,1,4.0,7,36,772.0,143,586.0,43,239.2,5.0,19.9,34.9,179.4,3847.9,712.8,2920.8,214.3,fort walton beach
Frankford Police Dept,FL,12,871.0,2.0,0,1.0,0,1,8.0,3,5.0,0,229.6,0.0,114.8,0.0,114.8,918.5,344.4,574.1,0.0,frankford
Franklin County Sheriff Department,FL,12,,87.0,1,15.0,1,70,182.0,62,110.0,10,,,,,,,,,,franklin county
Fruitland Park  Police Dept,FL,12,4188.0,10.0,0,0.0,0,10,190.0,60,127.0,3,238.8,0.0,0.0,0.0,238.8,4536.8,1432.7,3032.5,71.6,fruitland park
Gadsen County Sheriff Department,FL,12,,101.0,3,7.0,11,80,522.0,224,270.0,28,,,,,,,,,,gadsen county
Gainesville Police Dept,FL,12,127036.0,851.0,6,74.0,171,600,5201.0,1009,3953.0,239,669.9,4.7,58.3,134.6,472.3,4094.1,794.3,3111.7,188.1,gainesville
Georgetown Police Dept,FL,12,6596.0,60.0,0,4.0,23,33,308.0,67,230.0,11,909.6,0.0,60.6,348.7,500.3,4669.5,1015.8,3487.0,166.8,georgetown
Gilchrist County Sheriff Department,FL,12,,28.0,0,0.0,0,28,208.0,79,116.0,13,,,,,,,,,,gilchrist county
Glades County Sheriff Department,FL,12,,39.0,0,3.0,1,35,192.0,72,111.0,9,,,,,,,,,,glades county
Glastonbury Police Dept,FL,12,34547.0,22.0,0,3.0,9,10,326.0,55,258.0,13,63.7,0.0,8.7,26.1,28.9,943.6,159.2,746.8,37.6,glastonbury
Golden Beach Police Dept,FL,12,953.0,0.0,0,0.0,0,0,10.0,5,5.0,0,0.0,0.0,0.0,0.0,0.0,1049.3,524.7,524.7,0.0,golden beach
Graceville Police Dept,FL,12,2289.0,3.0,0,0.0,0,3,51.0,24,25.0,2,131.1,0.0,0.0,0.0,131.1,2228.0,1048.5,1092.2,87.4,graceville
Granby Police Dept,FL,12,11321.0,2.0,0,0.0,1,1,96.0,5,91.0,0,17.7,0.0,0.0,8.8,8.8,848.0,44.2,803.8,0.0,granby
Green Cove Springs Police Dept,FL,12,7053.0,72.0,0,5.0,7,60,224.0,47,172.0,5,1020.8,0.0,70.9,99.2,850.7,3176.0,666.4,2438.7,70.9,green cove springs
Green Acres Police Dept,FL,12,38528.0,234.0,0,13.0,58,163,1185.0,327,766.0,92,607.4,0.0,33.7,150.5,423.1,3075.7,848.7,1988.2,238.8,green acres
Greenwich Police Dept,FL,12,61948.0,23.0,0,2.0,6,15,368.0,45,301.0,22,37.1,0.0,3.2,9.7,24.2,594.0,72.6,485.9,35.5,greenwich
Greenwood Police Dept,FL,12,1001.0,4.0,0,1.0,1,2,23.0,9,13.0,1,399.6,0.0,99.9,99.9,199.8,2297.7,899.1,1298.7,99.9,greenwood
Gretna Police Dept,FL,12,1472.0,22.0,0,0.0,0,22,15.0,10,5.0,0,1494.6,0.0,0.0,0.0,1494.6,1019.0,679.3,339.7,0.0,gretna
Groton City Police Dept,FL,12,10397.0,17.0,0,4.0,3,10,157.0,8,139.0,10,163.5,0.0,38.5,28.9,96.2,1510.1,76.9,1336.9,96.2,groton city
Groton Long Point Police Dept,FL,12,518.0,0.0,0,0.0,0,0,14.0,3,9.0,2,0.0,0.0,0.0,0.0,0.0,2702.7,579.2,1737.5,386.1,groton long point
Groton Town Police Dept,FL,12,29231.0,48.0,0,8.0,8,32,610.0,72,515.0,23,164.2,0.0,27.4,27.4,109.5,2086.8,246.3,1761.8,78.7,groton town
Groveland Police Dept,FL,12,8967.0,11.0,0,0.0,2,9,133.0,46,80.0,7,122.7,0.0,0.0,22.3,100.4,1483.2,513.0,892.2,78.1,groveland
Guilford Police Dept,FL,12,22400.0,24.0,0,3.0,7,14,293.0,51,235.0,7,107.1,0.0,13.4,31.3,62.5,1308.0,227.7,1049.1,31.3,guilford
Gulf County Sheriff Department,FL,12,,51.0,1,3.0,3,44,226.0,110,109.0,7,,,,,,,,,,gulf county
Gulf Breeze Police Dept,FL,12,5950.0,5.0,0,1.0,0,4,142.0,27,114.0,1,84.0,0.0,16.8,0.0,67.2,2386.6,453.8,1916.0,16.8,gulf breeze
Gulf Stream Police Dept,FL,12,806.0,0.0,0,0.0,0,0,24.0,5,17.0,2,0.0,0.0,0.0,0.0,0.0,2977.7,620.3,2109.2,248.1,gulf stream
Gulfport Police Dept,FL,12,12205.0,49.0,0,4.0,12,33,570.0,187,363.0,20,401.5,0.0,32.8,98.3,270.4,4670.2,1532.2,2974.2,163.9,gulfport
Haines City Police Dept,FL,12,21091.0,78.0,1,10.0,15,52,701.0,161,512.0,28,369.8,4.7,47.4,71.1,246.6,3323.7,763.4,2427.6,132.8,haines city
Hallandale Police Dept,FL,12,38316.0,287.0,4,11.0,98,174,1863.0,456,1264.0,143,749.0,10.4,28.7,255.8,454.1,4862.2,1190.1,3298.9,373.2,hallandale
Hamden Police Dept,FL,12,61032.0,322.0,2,3.0,39,278,1382.0,196,1089.0,97,527.6,3.3,4.9,63.9,455.5,2264.4,321.1,1784.3,158.9,hamden
