Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name
Spartanburg Public Safety Dept,SD,12,37689.0,537.0,2,20.0,120,395,2694.0,479,2120.0,95,1424.8,5.3,53.1,318.4,1048.1,7148.0,1270.9,5625.0,252.1,spartanburg
Spearfish Police Dept,SD,12,10704.0,18.0,0,8.0,0,10,375.0,47,320.0,8,168.2,0.0,74.7,0.0,93.4,3503.4,439.1,2989.5,74.7,spearfish
Spencer Police Dept,SD,12,1597.0,1.0,0,0.0,0,1,21.0,4,15.0,2,62.6,0.0,0.0,0.0,62.6,1315.0,250.5,939.3,125.2,spencer
Spink County Sheriff Office,SD,12,,10.0,0,4.0,0,6,41.0,7,30.0,4,,,,,,,,,,spink county
Spring City Police Dept,SD,12,2013.0,10.0,0,0.0,0,10,45.0,5,34.0,6,496.8,0.0,0.0,0.0,496.8,2235.5,248.4,1689.0,298.1,spring city
Spring Hill Police Dept,SD,12,29981.0,59.0,0,6.0,7,46,382.0,70,307.0,5,196.8,0.0,20.0,23.3,153.4,1274.1,233.5,1024.0,16.7,spring hill
Springdale Town Police Dept,SD,12,2709.0,7.0,0,0.0,3,4,76.0,12,57.0,7,258.4,0.0,0.0,110.7,147.7,2805.5,443.0,2104.1,258.4,springdale town
Springfield Police Dept,SD,12,1999.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,springfield
Springfield Police Dept,SD,12,16776.0,176.0,2,14.0,46,114,783.0,122,635.0,26,1049.1,11.9,83.5,274.2,679.5,4667.4,727.2,3785.2,155.0,springfield
St. George Police Dept,SD,12,2161.0,28.0,0,1.0,3,24,115.0,21,85.0,9,1295.7,0.0,46.3,138.8,1110.6,5321.6,971.8,3933.4,416.5,st. george
St. Joseph Police Dept,SD,12,794.0,7.0,0,1.0,0,6,12.0,6,5.0,1,881.6,0.0,125.9,0.0,755.7,1511.3,755.7,629.7,125.9,st. joseph
St. Matthews Police Dept,SD,12,2038.0,18.0,0,0.0,3,15,60.0,15,36.0,9,883.2,0.0,0.0,147.2,736.0,2944.1,736.0,1766.4,441.6,st. matthews
St. Stephen Police Dept,SD,12,1767.0,10.0,0,0.0,3,7,134.0,65,66.0,3,565.9,0.0,0.0,169.8,396.2,7583.5,3678.6,3735.1,169.8,st. stephen
Stanley County Sheriff Office,SD,12,,5.0,0,2.0,0,3,32.0,17,15.0,0,,,,,,,,,,stanley county
Stewart County Sheriff Office,SD,12,,34.0,0,1.0,2,31,133.0,50,70.0,13,,,,,,,,,,stewart county
Sturgis Police Dept,SD,12,6731.0,4.0,0,1.0,0,3,145.0,25,115.0,5,59.4,0.0,14.9,0.0,44.6,2154.2,371.4,1708.5,74.3,sturgis
Sullivan County Sheriff Department,SD,12,,407.0,1,17.0,15,374,1526.0,470,949.0,107,,,,,,,,,,sullivan county
Sullivans Island Police Dept,SD,12,1847.0,1.0,0,0.0,0,1,25.0,5,20.0,0,54.1,0.0,0.0,0.0,54.1,1353.5,270.7,1082.8,0.0,sullivans island
Sully County Sheriff Office,SD,11,,0.0,0,0.0,0,0,1.0,0,1.0,0,,,,,,,,,,sully county
Summerton Police Dept,SD,12,1002.0,9.0,0,1.0,3,5,44.0,8,34.0,2,898.2,0.0,99.8,299.4,499.0,4391.2,798.4,3393.2,199.6,summerton
Summerville Police Dept,SD,12,45209.0,83.0,2,2.0,32,47,1319.0,192,1022.0,105,183.6,4.4,4.4,70.8,104.0,2917.6,424.7,2260.6,232.3,summerville
Sumner County Sheriff Department,SD,12,,119.0,1,10.0,3,105,736.0,263,439.0,34,,,,,,,,,,sumner county
Sumter County Sheriff Department,SD,12,,424.0,5,20.0,39,360,2487.0,1004,1280.0,203,,,,,,,,,,sumter county
Sumter Police Dept,SD,12,40911.0,403.0,7,8.0,65,323,2147.0,599,1409.0,139,985.1,17.1,19.6,158.9,789.5,5248.0,1464.2,3444.1,339.8,sumter
Surfside Beach Police Dept,SD,12,3976.0,19.0,0,3.0,5,11,396.0,89,294.0,13,477.9,0.0,75.5,125.8,276.7,9959.8,2238.4,7394.4,327.0,surfside beach
Surgoinsville Police Dept,SD,12,1811.0,0.0,0,0.0,0,0,23.0,1,20.0,2,0.0,0.0,0.0,0.0,0.0,1270.0,55.2,1104.4,110.4,surgoinsville
Swansea,SD,12,852.0,7.0,0,0.0,2,5,32.0,4,25.0,3,821.6,0.0,0.0,234.7,586.9,3755.9,469.5,2934.3,352.1,swansea
Sweetwater Police Dept,SD,12,5884.0,32.0,0,0.0,2,30,207.0,52,136.0,19,543.8,0.0,0.0,34.0,509.9,3518.0,883.8,2311.4,322.9,sweetwater
Tazewell Police Dept,SD,12,2237.0,27.0,1,1.0,1,24,114.0,17,89.0,8,1207.0,44.7,44.7,44.7,1072.9,5096.1,759.9,3978.5,357.6,tazewell
Tea City Police Dept,SD,12,4021.0,8.0,0,0.0,0,8,90.0,25,57.0,8,199.0,0.0,0.0,0.0,199.0,2238.2,621.7,1417.6,199.0,tea city
