,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","-46.174","14.908","37.997","66.381","131.348**"
"","(69.142)","(40.443)","(27.247)","(37.515)","(40.169)"
"avg_commute","1.353","-0.796","-0.668","-1.273","0.196"
"","(1.776)","(1.039)","(0.7)","(0.964)","(1.032)"
"female_wage_p25","-11.146*","-2.413","0.476","-0.338","-1.462"
"","(4.944)","(2.892)","(1.948)","(2.682)","(2.872)"
"male_wage_p25","3.287","2.76","1.026","2.97","2.366"
"","(4.311)","(2.522)","(1.699)","(2.339)","(2.505)"
"female_epop","189.381","-57.239","-101.075","-165.801","-55.125"
"","(175.251)","(102.51)","(69.061)","(95.088)","(101.814)"
"male_epop","16.133","89.914","94.72","141.846","-70.212"
"","(187.432)","(109.634)","(73.861)","(101.697)","(108.891)"
"relative_sex_crime","1028.702","216.889","68.284","55.036","324.474"
"","(1100.119)","(643.493)","(433.522)","(596.905)","(639.127)"
"crime_rate","-34.611","-178.764","-16.485","-56.226","16.382"
"","(304.286)","(177.986)","(119.909)","(165.1)","(176.778)"
"le_per_capita","-523.851","-76.149","32.629","127.48","-37.399"
"","(755.936)","(442.17)","(297.89)","(410.157)","(439.17)"
"R2","0.119","0.065","0.046","0.077","0.038"
"N","81","81","81","81","81"
