,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","-35.661","-7.278","26.229","47.871","100.602***"
"","(41.131)","(25.97)","(19.637)","(25.767)","(25.945)"
"avg_commute","1.049","0.197","-0.176","-0.311","0.403"
"","(1.111)","(0.702)","(0.531)","(0.696)","(0.701)"
"female_wage_p50","-5.699*","-2.115","0.518","-1.105","-0.901"
"","(2.338)","(1.476)","(1.116)","(1.465)","(1.475)"
"male_wage_p50","0.512","1.145","0.169","1.53","1.282"
"","(1.695)","(1.07)","(0.809)","(1.062)","(1.069)"
"female_epop","162.541","27.111","-5.049","8.826","46.443"
"","(114.685)","(72.412)","(54.755)","(71.847)","(72.343)"
"male_epop","60.226","49.714","23.973","22.256","-97.22"
"","(115.188)","(72.73)","(54.994)","(72.161)","(72.66)"
"R2","0.104","0.028","0.022","0.03","0.033"
"N","115","115","115","115","115"
