,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","43.516","57.479","126.911*","141.896*","151.721*"
"","(28.336)","(38.065)","(49.053)","(61.565)","(69.566)"
"avg_commute","-1.459","-0.604","0.206","0.822","0.948"
"","(0.739)","(0.993)","(1.28)","(1.606)","(1.815)"
"female_wage_p25","-3.162","-4.482","-1.875","-0.296","-4.418"
"","(2.481)","(3.332)","(4.294)","(5.389)","(6.09)"
"male_wage_p25","3.349","1.939","0.025","-2.058","3.848"
"","(2.126)","(2.856)","(3.681)","(4.619)","(5.22)"
"female_epop","199.979*","299.305*","496.399**","566.464**","391.503"
"","(92.002)","(123.589)","(159.264)","(199.886)","(225.865)"
"male_epop","-97.633","-134.851","-446.002**","-457.115*","-299.423"
"","(89.701)","(120.498)","(155.281)","(194.887)","(220.216)"
"R2","0.16","0.101","0.114","0.089","0.049"
"N","99","99","99","99","99"
