,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","319.457***","242.523**","259.19***","329.367***","237.594*"
"","(73.661)","(74.335)","(73.124)","(80.928)","(103.528)"
"avg_commute","-5.102**","-2.958","-3.002","-2.126","1.253"
"","(1.922)","(1.94)","(1.908)","(2.112)","(2.701)"
"female_wage_p25","13.137*","6.627","0.018","-1.354","-1.727"
"","(6.448)","(6.507)","(6.401)","(7.084)","(9.063)"
"male_wage_p25","-2.448","3.488","10.561","9.84","3.125"
"","(5.527)","(5.578)","(5.487)","(6.072)","(7.768)"
"female_epop","40.844","133.561","16.165","69.77","242.276"
"","(239.16)","(241.347)","(237.417)","(262.752)","(336.131)"
"male_epop","-335.684","-333.769","-227.679","-307.005","-139.883"
"","(233.179)","(235.311)","(231.479)","(256.181)","(327.724)"
"R2","0.131","0.086","0.095","0.066","0.02"
"N","99","99","99","99","99"
