,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","-30.812***","11.586***","42.099***","54.309***","50.388***"
"","(0.573)","(0.578)","(0.972)","(1.229)","(1.115)"
"avg_commute","-0.18***","-1.076***","-2.854***","-2.999***","-0.591***"
"","(0.013)","(0.013)","(0.021)","(0.027)","(0.024)"
"female_wage_p50","-0.179***","1.122***","1.71***","1.078***","-0.314***"
"","(0.039)","(0.04)","(0.067)","(0.084)","(0.076)"
"male_wage_p50","1.052***","1.424***","3.16***","3.674***","2.689***"
"","(0.027)","(0.027)","(0.046)","(0.058)","(0.053)"
"female_epop","22.129***","-145.414***","-321.037***","-398.319***","-119.239***"
"","(1.713)","(1.731)","(2.91)","(3.678)","(3.337)"
"male_epop","27.165***","100.99***","222.593***","319.015***","106.683***"
"","(1.905)","(1.924)","(3.235)","(4.088)","(3.709)"
"R2","0.186","0.313","0.379","0.311","0.164"
"N","80133","80133","80133","80133","80133"
