,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","526.347***","460.338***","434.447***","506.401***","574.457***"
"","(3.42)","(3.707)","(3.634)","(3.805)","(4.716)"
"log(population)","-33.472***","-27.845***","-21.598***","-24.463***","-23.503***"
"","(0.318)","(0.345)","(0.338)","(0.354)","(0.439)"
"unemployment","-290.16***","-352.514***","-347.484***","-306.833***","-453.353***"
"","(8.421)","(9.127)","(8.948)","(9.368)","(11.612)"
"avg_commute","-0.216**","0.087","0.534***","1.535***","2.362***"
"","(0.083)","(0.09)","(0.088)","(0.093)","(0.115)"
"female_wage_p50","-6.598***","-9.386***","-10.178***","-6.734***","-7.696***"
"","(0.168)","(0.182)","(0.178)","(0.187)","(0.231)"
"male_wage_p50","9.546***","12.682***","12.187***","9.078***","8.077***"
"","(0.117)","(0.127)","(0.124)","(0.13)","(0.161)"
"female_num_jobs","1.217***","0.955***","-0.444***","-0.618***","0.645***"
"","(0.023)","(0.025)","(0.024)","(0.025)","(0.032)"
"male_num_jobs","-0.363***","-0.229***","0.881***","1.027***","0.308***"
"","(0.025)","(0.027)","(0.027)","(0.028)","(0.035)"
"R2","0.363","0.329","0.247","0.184","0.184"
"N","80133","80133","80133","80133","80133"
