,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","118.269***","136.809***","331.323***","404.51***","291.153***"
"","(2.908)","(3.151)","(3.009)","(2.975)","(3.839)"
"avg_commute","-2.078***","-3.613***","-6.289***","-5.381***","-0.649***"
"","(0.076)","(0.083)","(0.079)","(0.078)","(0.101)"
"female_wage_p75","-2.278***","0.013","-3.228***","-5.006***","-9.488***"
"","(0.098)","(0.106)","(0.101)","(0.1)","(0.129)"
"male_wage_p75","4.543***","3.209***","6.048***","7.247***","9.188***"
"","(0.071)","(0.077)","(0.074)","(0.073)","(0.094)"
"female_epop","77.671***","-18.853","-279.426***","-123.093***","175.159***"
"","(8.917)","(9.661)","(9.226)","(9.12)","(11.772)"
"male_epop","-118.122***","91.62***","130.452***","-89.886***","-209.868***"
"","(9.814)","(10.632)","(10.154)","(10.037)","(12.956)"
"rape_per_capita","28729.824***","36910.211***","26879.342***","-45462.642***","-44305.889***"
"","(1740.235)","(1885.318)","(1800.521)","(1779.846)","(2297.327)"
"property_crime_per_capita","-327.326***","-1158.331***","-1144.512***","-232.408***","419.552***"
"","(21.363)","(23.144)","(22.104)","(21.85)","(28.202)"
"le_per_capita","-1082.6***","-826.078***","502.97***","374.757***","981.647***"
"","(26.207)","(28.392)","(27.115)","(26.804)","(34.597)"
"R2","0.236","0.269","0.23","0.229","0.165"
"N","70979","70979","70979","70979","70979"
