,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","-16.966***","62.415***","230.393***","349.292***","358.615***"
"","(1.113)","(1.74)","(2.451)","(2.762)","(2.926)"
"avg_commute","-0.918***","-0.19***","0.933***","-1.569***","-2.057***"
"","(0.029)","(0.045)","(0.064)","(0.072)","(0.076)"
"female_wage_p50","-4.016***","-0.131","1.459***","6.54***","6.734***"
"","(0.07)","(0.11)","(0.155)","(0.175)","(0.185)"
"male_wage_p50","3.498***","0.075","-0.928***","-0.721***","-0.094"
"","(0.047)","(0.073)","(0.103)","(0.117)","(0.123)"
"female_epop","253.544***","-135.531***","-60.422***","21.786**","77.674***"
"","(3.386)","(5.293)","(7.458)","(8.404)","(8.902)"
"male_epop","-56.302***","146.877***","-298.934***","-573.387***","-537.628***"
"","(3.458)","(5.406)","(7.618)","(8.584)","(9.092)"
"rape_per_capita","-47893.534***","38058.114***","69635.842***","38336.108***","28454.907***"
"","(624.914)","(976.823)","(1376.499)","(1551.007)","(1642.896)"
"property_crime_per_capita","774.479***","-65.729***","124.169***","250.363***","-70.051***"
"","(7.763)","(12.134)","(17.099)","(19.266)","(20.408)"
"le_per_capita","-495.847***","-799.765***","-536.44***","-445.552***","223.191***"
"","(9.467)","(14.799)","(20.854)","(23.498)","(24.89)"
"R2","0.467","0.123","0.168","0.165","0.124"
"N","70979","70979","70979","70979","70979"
