,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","5.252***","63.068***","225.715***","311.639***","291.559***"
"","(0.986)","(1.534)","(2.161)","(2.435)","(2.603)"
"avg_commute","-1.151***","-0.165***","1.102***","-0.996***","0.062"
"","(0.028)","(0.043)","(0.061)","(0.069)","(0.073)"
"female_wage_p25","-2.857***","-0.485***","-0.53**","8.053***","-0.929***"
"","(0.086)","(0.133)","(0.187)","(0.211)","(0.226)"
"male_wage_p25","4.167***","0.427***","1.187***","0.429**","7.361***"
"","(0.065)","(0.101)","(0.142)","(0.16)","(0.171)"
"female_epop","166.874***","-139.184***","-64.951***","7.941","90.565***"
"","(3.395)","(5.282)","(7.442)","(8.386)","(8.964)"
"male_epop","-48.162***","145.097***","-308.802***","-521.346***","-490.762***"
"","(3.442)","(5.355)","(7.545)","(8.502)","(9.089)"
"rape_per_capita","-40779.384***","39267.285***","72197.765***","27211.124***","41238.838***"
"","(662.351)","(1030.422)","(1451.891)","(1635.987)","(1748.834)"
"property_crime_per_capita","689.837***","-69.714***","140.249***","367.493***","53.409**"
"","(7.679)","(11.947)","(16.833)","(18.968)","(20.276)"
"le_per_capita","-525.187***","-794.937***","-491.474***","-395.44***","392.144***"
"","(9.477)","(14.743)","(20.773)","(23.407)","(25.021)"
"R2","0.462","0.124","0.168","0.165","0.108"
"N","70979","70979","70979","70979","70979"
